RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT%OFF.,FT%DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
,,,327,200,248,209,285,46,300,286,135,276,196,323,154,228,325,161
249,San Jose St.,MWC,100.4,104.9,48.6,51.8,18.2,18.9,24.9,26.1,36.1,40.3,70,74.6,47.7,52,33.7,34.3
,,,252,182,249,223,143,151,301,47,158,285,185,341,242,270,228,128
250,Hawaii,BW,97.4,104.3,48.5,50.8,20.3,20.3,28,28.9,36.9,38.3,72.1,66.8,48.6,50.9,32.1,33.8
,,,300,174,250,188,293,62,217,164,137,234,113,19,202,232,299,105
251,Coastal Carolina,SB,101.2,105.8,48.5,50.3,18.1,16.6,30.5,26.9,29.2,32.6,65.5,70.2,48,49.7,32.7,33.9
,,,237,197,251,162,140,291,125,71,319,113,318,164,229,187,275,110
252,Connecticut,Amer,106.3,99.2,48.5,45.6,18.7,16.1,29.9,30.5,34.5,32,71.6,70.2,46.1,43,35.4,33
,,,131,74,252,16,198,313,146,232,199,92,127,162,292,10,152,73
253,Bradley,MVC,97.3,103.1,48.5,48.9,21.9,18.4,26.3,29.4,42.1,40.9,67.8,71.3,46.1,46.8,35.3,34.7
,,,303,136,253,99,333,184,276,188,28,293,266,234,294,77,156,153
254,LIU Brooklyn,NEC,100.4,107.4,48.5,49.5,20.9,19.5,36.4,28.9,38.8,37.1,68.7,70.7,47,47.6,34.8,35.4
,,,253,231,254,121,318,115,15,162,78,215,229,195,270,103,175,193
255,UC Davis 16,BW,98.3,101.6,48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,67.1,71.4,46.9,48.5,34.5,32.6
,,,286,108,255,93,291,104,186,135,42,120,283,237,275,139,191,57
256,Maryland Eastern Shore,MEAC,97.3,113.4,48.4,52.8,18,19.3,27.1,33.7,32.5,40.9,68.1,70.3,46.5,52.2,34.4,35.9
,,,304,320,256,278,134,130,253,327,262,297,256,169,286,281,194,223
257,Grand Canyon,WAC,101.4,98.9,48.4,47.8,18.2,20.9,29.1,27.9,42.1,31.6,66.1,69.9,47.8,47.3,33,32.5
,,,230,67,257,58,147,41,185,115,27,82,301,150,238,90,261,53
258,South Alabama,SB,98.9,106.1,48.4,52.2,18.4,22.4,27.2,31.7,38.3,40.4,66.4,70.2,49,51,31.7,36.2
,,,274,207,258,244,170,13,243,279,87,287,292,163,187,237,310,246
259,Fordham,A10,97.4,99.1,48.4,53,19.7,25.6,23.4,31,26.7,43.5,73.1,71.4,47.4,52.3,33.2,36.1
,,,301,70,259,286,260,3,325,250,343,324,88,236,256,288,253,239
260,UT Rio Grande Valley,WAC,100.6,112.7,48.3,54.3,20.2,20.2,29.5,31.8,32.5,52.3,72.3,68.5,48,53.6,32.5,37
,,,245,315,260,321,287,66,169,283,263,349,107,70,230,317,280,287
261,Towson,CAA,105.2,101.4,48.3,49,18.7,18.7,37,26.1,45.6,47.1,68.3,68.8,49.2,47.4,30.6,34.3
,,,154,102,261,108,195,161,11,46,4,339,240,83,179,92,332,130
262,Colorado St.,MWC,109.1,101.1,48.3,46.8,16.1,16.9,31.3,28.8,38.2,31.8,72.6,68.2,46.6,46.6,34.1,31.4
,,,86,98,262,31,30,273,95,158,90,86,99,53,280,68,216,24
263,High Point,BSth,98.4,108.3,48.3,52.6,19.2,19.6,28.1,28,36.4,33.5,77,67.1,44.8,51,37.5,36.7
,,,283,248,263,266,226,103,212,121,146,135,15,22,324,239,62,270
264,Cal St. Bakersfield,WAC,101.3,92.9,48.3,43.6,20.8,22.8,32.6,30.6,38,47.1,63.8,68.9,46.9,41,34.2,31.6
,,,236,11,264,3,314,11,67,235,98,340,338,91,274,3,204,28
265,Green Bay,Horz,101.6,103.6,48.3,50.8,18,18.6,30.4,28.6,37.7,33.1,69.4,66.4,48.7,48.7,31.6,36.3
,,,225,155,265,189,132,168,131,154,108,122,211,15,199,142,319,254
266,Stanford,P12,104.8,99.1,48.3,52.7,18.6,20.6,29.6,27.2,37.3,38.2,68.3,69.7,48.2,49.1,32.3,38.8
,,,162,71,266,271,181,48,159,83,125,231,243,135,223,161,293,329
267,San Diego,WCC,99.4,108.4,48.2,52.2,18.7,15.1,23.6,25.5,35.5,36.5,71.6,68.4,45,50.9,34.7,36.3
,,,267,256,267,245,193,337,322,37,168,203,129,65,319,233,183,251
268,Kent St. 14,MAC,105.1,103.7,48.2,50.1,17.9,19,38.1,29.8,32.5,34.3,71.8,70.2,48.5,48.5,31.7,35.3
,,,158,160,268,152,123,146,5,203,261,160,120,161,208,138,312,187
269,Alabama,SEC,105.1,92.8,48.2,46.1,20.4,19.8,34.1,26.6,39.1,39.9,65.3,67.1,48.7,44.2,31.7,33.3
,,,157,10,269,24,297,91,39,61,75,273,319,24,197,19,311,85
270,Oregon St.,P12,96.8,105.1,48.2,51.3,23,17.5,26.9,32.3,34.3,39.6,66.1,70.4,46.3,50,34.6,35.7
,,,306,189,270,205,345,243,259,299,209,265,303,174,288,204,186,211
271,DePaul,BE,103.7,104.1,48.1,53.8,20.4,20,29.9,30,35.6,40.2,73.5,73,47.7,53.6,32.6,36.1
,,,186,169,271,313,300,81,148,213,167,282,79,307,245,318,276,240
272,Texas Southern 16,SWAC,101.8,107.3,48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,73.5,68.3,50,49.3,29.6,32.5
,,,221,228,272,112,55,134,84,338,8,101,77,59,143,165,340,55
273,VMI,SC,97.5,113.2,48.1,56.7,18.9,17.9,26.6,32.3,29.5,39.7,69.2,67,48.2,54.2,32,40.7
,,,298,318,273,347,211,210,266,300,313,270,216,21,225,328,302,347
274,Tennessee Tech,OVC,98.5,107.8,48.1,51.5,19.2,20.4,29,30.1,38.5,39.7,71.5,73.6,47.7,51.1,32.5,34.7
,,,281,237,274,213,228,52,192,219,82,268,133,321,243,242,279,156
275,California,P12,104.2,93.5,48.1,45.3,18.7,16.6,32.9,24,37.7,34.1,66.1,67.8,46.6,43.4,34,32.8
,,,171,17,275,14,191,294,62,5,105,154,300,40,281,12,218,66
276,Georgia,SEC,108.5,96.9,48.1,47.2,18.6,16.7,28.9,28.2,40.7,34.2,75.9,69.9,48.3,45.4,31.8,33.6
,,,97,47,276,36,184,285,195,128,43,156,28,145,215,36,309,94
277,Drake,MVC,103.4,110.9,48.1,53.1,17.6,17.6,26.8,31.5,29.1,30.7,75.6,69.7,45.3,52,34.6,36.8
,,,189,294,277,292,104,224,261,275,321,68,32,130,311,271,185,276
278,Bowling Green,MAC,100.7,106.5,48,53.1,17.3,20,28.5,28.2,35.8,34.2,66.3,73.2,46.5,53.3,34.1,35.2
,,,244,214,278,293,83,77,203,129,164,158,295,315,284,313,212,181
279,Alcorn St.,SWAC,95,107.2,47.9,47.3,20.4,18.6,31.9,31.2,32.8,39.8,65.7,65.9,47.9,48.3,32,30.2
,,,328,223,279,38,301,171,76,258,250,272,316,10,233,130,301,8
280,Quinnipiac,MAAC,101.6,113.5,47.9,52.6,19.2,16.8,34.1,30.2,33,38.2,68.3,73.9,47.4,50.5,32.6,38
,,,227,322,280,267,229,281,38,222,248,232,245,331,257,222,278,318
281,Indiana St.,MVC,99.3,101.4,47.8,47.9,17.8,17.8,22.4,29.3,30.8,42.8,68.1,69.5,45.8,44.2,33.9,37.3
,,,268,103,281,63,112,213,330,180,287,318,249,119,300,20,225,295
282,Delaware St.,MEAC,94.8,114.2,47.8,52.3,19.6,20.3,28.5,37.2,30.1,39.1,66.3,72.8,44.7,52.6,35.1,34.7
,,,329,327,282,255,256,60,204,350,301,258,294,299,325,301,162,154
283,Eastern Illinois,OVC,100.6,104.4,47.8,49.7,17.5,21,29.5,32.4,26.9,39.3,74.8,70.6,43.5,47.6,36.6,35.9
,,,248,176,283,132,97,33,167,304,341,260,46,182,338,105,94,220
284,Navy,Pat,98.8,103.2,47.8,53,21.9,23.8,36.9,26.2,35.9,38.9,63.7,69,49,52.5,30.6,35.8
,,,276,139,284,287,332,6,12,48,161,248,340,97,186,293,329,219
285,Southern,SWAC,97.7,115.2,47.8,48.4,19.8,17.2,34.2,33.7,42.8,37.8,69.6,67.3,47.6,48.3,32.1,32.4
,,,297,335,285,80,270,261,34,326,14,224,201,28,249,131,300,51
286,Southern Illinois,MVC,102.9,104,47.7,52.2,17.6,20.3,29.5,31.4,35.4,33.6,69.4,66.3,47.9,48.2,31.6,39.4
,,,201,166,286,246,103,56,165,272,169,139,210,14,236,126,316,337
287,Louisiana Monroe,SB,98.8,106.5,47.7,50.5,19.4,16.5,29.5,29.4,26,34,67.2,67.7,47,49,32.5,35.5
,,,277,213,287,172,242,302,166,185,347,153,282,38,271,158,286,196
288,South Florida,Amer,97.3,106.9,47.7,51,23.5,19.1,30.6,34,30.7,40.1,65.7,68.5,45.9,45.1,34.6,39.6
,,,305,219,288,194,348,142,121,329,293,281,314,75,299,28,184,339
289,Southern Utah,BSky,101.6,119.4,47.7,56.6,18.4,16.7,29.4,29.4,40.3,51.3,74.2,71.3,43,54.2,36.3,40.2
,,,229,347,289,346,167,284,173,186,54,348,58,228,343,330,110,346
290,Wagner,NEC,100.9,108.2,47.6,47.6,21.4,18.5,40.1,30.9,34.7,38.9,69,69.6,47.1,46,32.5,33.5
,,,242,246,290,50,325,178,2,247,189,249,218,125,264,53,283,89
291,North Carolina A&T,MEAC,96.1,124.5,47.6,53.1,21.7,14.3,31.8,32.9,33.4,38.9,67.8,71.9,47.3,50.1,32.2,38.3
,,,317,351,291,294,330,347,81,317,238,250,268,258,261,210,298,324
292,Niagara,MAAC,100.3,109.8,47.6,50.5,17.9,16,30.5,30.7,33.6,30.8,75,72.9,44,48.1,36.6,36.6
,,,255,277,292,173,126,314,123,241,230,69,42,300,335,123,98,267
293,Radford,BSth,95.9,108.3,47.5,51.2,22.4,15.1,33.8,26.9,29.5,30,66,68.3,44.6,49.9,34.6,35.9
,,,319,252,293,201,342,338,44,69,311,57,306,62,327,198,187,222
294,Hartford,AE,93.2,110.8,47.5,51.9,20.4,18.4,24.7,34.3,32.6,34.9,69.9,69.6,45,48.7,33.9,38.9
,,,334,291,294,229,302,182,305,334,257,172,187,123,320,144,224,331
295,San Diego St.,MWC,104,94.2,47.5,44.8,17.5,19,30.5,29.1,35.3,32.4,70.1,70.6,47.5,42.9,31.6,32.1
,,,175,22,295,8,96,145,124,169,171,106,175,186,253,9,318,40
296,McNeese St.,Slnd,96.5,110.9,47.5,50.6,19.8,17.9,25.4,36.2,34.4,39.1,69,70.8,46.2,49.7,33.4,35.1
,,,312,296,296,178,272,211,293,349,202,256,219,202,291,188,244,176
297,Georgia Tech,ACC,100.1,91.7,47.4,46,19.3,18.8,27.7,30.8,35.8,27.4,68,70.7,46.9,43.9,32.5,33.1
,,,259,6,297,20,237,158,224,245,163,27,258,196,276,14,282,75
298,North Texas,CUSA,96.8,110.4,47.4,50.4,18.4,17.8,26.5,31.2,34.9,35,64.4,75,47.3,49.6,31.7,34.6
,,,307,289,298,170,168,215,269,263,182,173,333,344,260,183,314,148
299,Oklahoma,B12,107.6,95.6,47.4,50,19,18.5,30.8,29.8,36.7,33.5,72.1,68.4,45.7,47.1,34.3,36.5
,,,112,33,299,148,214,176,115,208,141,134,111,64,302,84,199,263
300,Norfolk St.,MEAC,94.4,106.1,47.4,48,20.5,16.7,29.7,28.9,38,38.4,68.1,65.9,46.1,45.4,33.2,34.7
,,,330,205,300,67,305,287,158,163,99,236,250,9,295,38,257,155
301,Appalachian St.,SB,100.1,108.3,47.4,52.8,19.4,16.9,28.9,27.2,37.1,44.8,67.5,69,46.3,50.5,32.7,39
,,,258,250,301,279,241,274,197,84,132,332,276,94,289,223,274,332
302,South Carolina St.,MEAC,99,119.5,47.4,54.3,18,17.6,28.1,35.8,30.4,39.1,69.8,71.8,47.1,55.7,32,34.4
,,,271,349,302,322,136,226,215,345,298,257,191,252,265,340,303,133
303,Manhattan,MAAC,96.7,107.9,47.4,51.6,22.6,20,30.8,30.1,41,53.4,72.9,71.2,46.3,48.1,32.9,39.2
,,,310,238,303,217,343,82,118,218,37,350,93,222,290,122,265,335
304,Cal Poly,BW,101.3,111.4,47.3,52.6,16.1,17.7,25.6,30.3,29.4,41.1,70.3,72.2,45.1,50,33.5,39.8
,,,233,299,304,268,32,217,290,228,316,298,170,270,315,205,239,341
305,South Carolina 7,SEC,109.4,90,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,70.1,72.4,45.9,45.4,33.4,30.6
,,,83,4,305,15,169,4,40,276,55,330,176,279,297,39,241,12
306,Penn St.,B10,104.1,97.7,47.2,49.2,17.9,20.3,26.6,30.6,32.8,31.2,74.5,71.3,45.4,46.5,33.9,36.3
,,,173,56,306,115,125,57,265,239,251,78,52,226,308,64,219,252
307,Stony Brook,AE,100.6,105.5,47.1,50.7,15.2,19.7,29.5,28.8,32.8,40.1,72.2,70.1,45.7,47.5,32.7,37.5
,,,247,195,307,184,12,92,168,160,253,280,109,157,303,97,270,301
308,Portland,WCC,98.5,107.7,47.1,51.3,19.2,16.8,24.4,32.7,37.6,30.5,74,69.5,43.2,49.2,37,36.3
,,,279,235,308,206,230,282,310,314,111,64,64,115,341,164,82,248
309,Sam Houston St.,Slnd,96.7,103.8,47.1,50,19.3,22.2,31.6,27.4,36.3,48.2,68.5,72.8,47.7,48.8,30.6,34.7
,,,309,162,309,149,233,17,91,91,148,341,237,298,244,148,330,157
310,Saint Louis,A10,96.2,104.1,47,50.6,20.3,16.9,24.2,27.3,34.4,38.5,66.3,69.8,44.3,48.9,34.2,35.6
,,,315,167,310,179,290,276,318,90,203,239,293,142,333,153,209,204
311,Tennessee,SEC,109.8,97.4,46.8,48.6,17.4,19.3,31.8,30.1,42.9,43.3,72.7,69.7,46,46.2,32.4,35.5
,,,74,50,311,87,91,128,82,217,12,321,98,132,296,57,289,197
312,Bethune Cookman,MEAC,96.2,114.7,46.8,53.1,17.7,19.6,31.1,35.6,28.2,40,66.1,67.1,45.9,54.7,32.3,33.6
,,,314,330,312,295,108,101,107,344,329,279,304,23,298,335,294,93
313,Grambling St.,SWAC,95.8,113.5,46.8,55.5,20.2,24.3,32,35,38.1,42.2,65.9,69,46.6,54.8,31.5,37.8
,,,322,323,313,338,288,5,74,340,94,311,309,96,283,336,320,313
314,Delaware,CAA,98.4,108.1,46.8,53.2,17.9,15.2,27.1,27.5,32.2,40,68.5,66.7,47.8,51.6,30,37
,,,284,243,314,301,120,335,251,101,269,278,238,17,239,254,337,289
315,Northern Arizona,BSky,95.4,110.3,46.7,52.9,20.4,16.7,31.3,26.9,33.2,32.8,68.1,69.3,46.1,54.2,31.7,33.9
,,,326,286,315,283,298,286,96,70,243,116,257,112,293,329,315,111
316,Central Connecticut,NEC,93.5,113.9,46.7,54,21.2,20.2,31.5,32.5,33.3,34.6,62,68.6,44.6,52.2,35.1,38
,,,332,324,316,318,321,67,92,308,241,164,349,78,328,284,163,317
317,Northern Iowa,MVC,96.7,97.8,46.7,50.5,17.3,20.9,17.7,28.3,34.2,26,73.5,74.8,45.3,47.6,32.3,36.8
,,,308,58,317,174,84,39,350,136,214,11,76,343,312,104,292,277
318,Loyola MD,Pat,98,104.5,46.7,52.2,22,21.3,33,28,39.2,35.9,69.5,71.9,45.3,53.2,33.2,33.4
,,,293,177,318,247,338,30,58,119,74,192,208,257,310,311,254,88
319,Mississippi Valley St.,SWAC,95.6,119.4,46.6,56.4,19.7,19.5,30.4,33.9,33.5,37.8,65,70.5,44.9,56,34.3,38.1
,,,324,348,319,343,262,113,132,328,232,225,324,180,322,345,198,319
320,Saint Joseph's,A10,102.4,103.5,46.6,51.2,17,18,29.8,26.6,40.1,32.5,65,72.9,45.7,50.3,32.4,34.9
,,,211,153,320,202,69,202,152,62,58,107,323,306,301,216,290,167
321,Florida A&M,MEAC,93.1,117.3,46.5,53.2,18.5,18.9,26.3,34.7,37.6,33.9,65.8,68.4,44.7,52.5,33.9,36.1
,,,335,341,321,302,180,153,273,336,112,148,313,68,326,295,223,238
322,Tulane,Amer,104.1,107.5,46.4,53.7,18.8,19.7,29.3,32.5,34.3,40.8,71.7,70.3,45.2,51.9,32.4,38.1
,,,174,232,322,309,205,95,176,309,212,291,125,167,314,265,288,321
323,Northern Illinois,MAC,99.7,102.7,46.4,50.8,19.5,20.5,33.5,28.1,40.3,39.8,68.1,67.6,46.6,49.8,30.6,34.9
,,,266,125,323,190,245,51,50,124,52,271,253,36,282,194,331,169
324,Cleveland St.,Horz,95.8,103.3,46.3,52.1,18.8,22.3,28.9,32.7,29.6,41.8,68.4,68.2,46.5,51.7,30.7,35.3
,,,321,144,324,238,206,15,196,313,308,306,239,57,285,257,328,188
325,Hampton,MEAC,92.9,107.4,46.1,49.6,19.6,19.9,30.6,29.3,33.4,42.7,72.3,68.9,45,47.5,32.2,35.6
,,,337,229,325,125,252,86,122,178,234,317,105,86,318,99,297,207
326,Arkansas Pine Bluff,SWAC,84.9,111.5,46,52.2,25.9,23.5,29.9,35.4,32.8,58.5,64.9,70.6,42.9,54.3,34.4,32.6
,,,351,302,326,248,351,8,149,342,255,351,327,189,344,332,193,58
327,Florida Atlantic,CUSA,98.6,108.3,46,51,16.6,17.7,26.9,31.2,30.4,35.9,70.5,69.5,45.5,49.2,31.4,37
,,,278,249,327,195,52,219,258,262,297,196,164,117,307,163,322,288
328,Nebraska,B10,105.3,99.5,46,52,18.6,19.3,33.7,29.9,30,33.3,70.7,69.8,45.3,47.5,31.8,40.7
,,,152,77,328,234,188,132,47,209,304,128,159,139,313,98,308,348
329,East Carolina,Amer,97.4,98,45.8,44.7,20.8,17,30.7,31.1,37.4,27.2,65.8,72.5,44.5,42.6,32,32.5
,,,299,60,329,7,316,272,119,252,116,24,311,285,329,8,304,54
330,UC Riverside,BW,94,105.7,45.7,49.8,19.9,19.1,26,29.9,30,34.1,70.1,72.3,44.9,47.9,31.6,35.1
,,,331,196,330,137,275,140,279,210,303,155,179,272,321,118,317,178
331,Old Dominion,CUSA,100.5,97,45.6,46.4,17.5,20.1,35.5,25.6,34.1,38.6,64.3,70.6,44.5,44,32.4,33.6
,,,249,48,331,28,94,71,24,38,216,240,335,190,331,16,287,92
332,Maine,AE,91.6,110.2,45.5,53,19.1,16.6,26.9,28.8,29.6,33.5,65.1,72.3,44.8,52.2,31.2,36.4
,,,344,281,332,288,219,295,257,161,309,138,320,274,323,283,323,260
333,Presbyterian,BSth,88.3,119.1,45.5,56.1,23.3,16.9,29,31.9,27.7,36.7,67.4,71.6,43.2,53.3,33.6,39.6
,,,349,346,333,341,347,277,190,289,335,206,277,247,342,314,234,340
334,Missouri,SEC,102,100.9,45.2,49.6,16.9,19.2,28.2,30.2,38.7,42.6,68.3,68.1,45,48.3,30.4,34.4
,,,217,95,334,126,65,135,211,226,79,315,242,47,317,132,333,134
335,Robert Morris,NEC,92.5,99.7,45.1,48.4,21.5,23.7,29.3,31.3,41.3,42.5,64.7,69.2,43.8,50,31.9,29.8
,,,339,79,335,81,326,7,179,265,33,313,329,109,336,206,306,6
336,UNLV,MWC,98.2,104.9,45.1,51.6,18,16.5,28.9,27.5,37.5,28.6,69.7,68.9,43.5,48.9,32,37.8
,,,288,183,336,218,130,301,193,99,115,38,195,88,340,154,305,312
337,SIU Edwardsville,OVC,95.6,109.5,45,52.7,20.3,18.3,31.6,28.5,45.7,44.9,67.8,73.2,45.5,54,29.2,33.2
,,,325,269,337,272,292,194,90,144,3,333,269,314,306,324,346,81
338,Southern Miss,CUSA,92.8,109.6,45,52.2,18.1,16.6,22.3,25.8,29.3,33.9,71,69.9,45.4,49.4,29.6,37.4
,,,338,271,338,249,138,290,331,40,318,150,148,148,309,171,341,299
339,Rutgers,B10,101.7,99.2,44.7,47.5,19.7,18.9,37.5,30.1,31.2,31.2,62.5,72.7,44.5,46.6,30.2,32.7
,,,224,72,339,47,259,155,7,216,282,79,347,296,330,69,336,63
340,Pacific,WCC,99.7,106.3,44.6,52.5,17,16.5,29.3,24.1,34.6,40.9,68,70.1,42.9,51.8,32.5,35.7
,,,264,211,340,261,67,299,177,7,196,295,260,158,345,263,285,213
341,Alabama A&M,SWAC,91.5,124.3,44.3,53.7,19.8,14,29.3,36.2,39.5,33.7,66.5,68.1,45.6,53.2,27.5,36.3
,,,345,350,341,310,271,350,175,348,70,142,290,49,305,310,350,255
342,Alabama St.,SWAC,91.2,114.8,44.3,50.3,22,18,34.5,31.8,34.6,42.6,63.4,67.9,44.4,49.7,29.4,34.5
,,,347,332,342,163,339,205,31,281,194,316,345,44,332,189,343,141
343,Jackson St.,SWAC,93.2,109.4,44.2,49.6,18.5,19.8,34,28.7,33.7,48.4,67.6,70.9,44,49.6,29.8,33.1
,,,333,266,343,127,177,89,41,157,229,343,272,209,334,184,338,76
344,Coppin St.,MEAC,92.4,117.2,43.9,54.4,19.1,18.9,28,33.1,40,40,63.7,69.1,41.7,55,31.7,35.6
,,,340,340,344,325,222,154,218,323,60,275,341,102,349,338,313,208
345,Howard,MEAC,91.3,110.9,43.5,50.2,21.3,17.6,32.4,32.7,42.3,36.3,65,70,43.5,47.6,29,36.5
,,,346,297,345,156,322,231,71,311,25,201,321,152,339,106,347,265
346,Western Carolina,SC,90,104.3,43.1,52.9,23.2,19.1,31.5,29,27.7,46.6,65.9,69.9,41.9,52.1,30.4,36
,,,348,175,346,284,346,141,93,168,334,337,308,151,347,277,334,230
347,UTSA,CUSA,95.8,103.2,42.6,49.7,18.1,17.6,32.4,24.2,36.2,37.9,66.7,67.7,43.7,48.4,26.7,34.8
,,,320,141,347,133,137,227,72,10,151,226,287,39,337,136,351,162
348,Morgan St.,MEAC,92.2,105.8,42.5,48.9,19.8,20.1,34.8,31.2,37.8,41.5,71.4,65.6,42,51.7,29.2,28.9
,,,342,198,348,100,266,75,28,257,102,301,134,4,346,258,344,1
349,Chicago St.,WAC,92.2,111.5,42.4,55,19.6,18.3,26.1,31.1,27.8,35.5,70.9,70.3,40.7,55.7,30.4,36.1
,,,341,301,349,331,254,192,278,254,333,185,154,168,350,341,335,241
350,UC Santa Barbara,BW,93,107,42.1,52.5,18.3,17.6,30.8,29.6,28.8,32.3,63.3,69.6,41.7,53.2,28.5,34.4
,,,336,220,350,262,157,228,113,196,324,102,346,127,348,312,348,135
351,St. Francis NY,NEC,87.8,112.1,41,52.7,17.4,20,27.9,33.4,31.8,46.9,64.8,68.1,40.1,52.2,28.2,36
,,,350,307,351,273,92,78,222,325,275,338,328,50,351,285,349,231
