RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT%OFF.,FT%DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
47,Florida St. 3,ACC,116.1,96.2,53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,68.9,71.5,54.4,45.4,34.7,34.9
,,,29,37,47,60,46,109,46,204,83,220,221,239,23,34,178,166
48,Ball St.,MAC,104.3,105.1,53.7,48.7,19.9,17.2,27.8,28.4,35.1,35.9,72.2,72,51.7,46.2,37.6,35.6
,,,169,190,48,91,274,262,223,139,173,194,108,262,78,56,60,199
49,Notre Dame 5,ACC,120,97.4,53.6,49.1,14,18.7,27.3,30.8,28.6,26.7,80,73.7,50.9,48.2,38.4,33.8
,,,12,51,49,110,2,159,238,246,327,18,1,325,106,125,35,100
50,Marshall,CUSA,110.6,109.5,53.6,51.5,15.9,16.8,24.4,32.8,37.1,31,73.3,65.8,51.8,51.3,37.4,34.6
,,,66,268,50,210,24,278,311,316,130,72,84,7,75,247,67,143
51,Dayton 7,A10,111.8,97.9,53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,69.3,71.2,51,47.2,38.4,32.3
,,,58,59,51,53,61,36,288,95,10,179,213,224,99,85,33,45
52,Northeastern,CAA,106.2,107.2,53.5,52.1,18.5,17,25.7,27,37.8,31,68.1,69.6,52.4,50.7,36.7,36.4
,,,135,224,52,235,174,268,282,75,103,71,254,126,51,226,93,258
53,Winthrop 13,BSth,106.3,102.2,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,71.6,72.1,50.9,45.9,37.9,32.1
,,,130,116,53,30,111,167,274,140,89,162,128,266,103,51,52,37
54,Syracuse,ACC,116.9,101.5,53.5,50.3,18,19.7,31.6,34.5,35.1,29.2,73.9,65.8,51.3,49.6,37.9,34.3
,,,26,105,54,157,135,94,87,335,175,44,66,6,92,179,49,124
55,North Dakota 15,BSky,103.9,103.4,53.4,50.7,18.3,19.6,26,27.8,36.1,39.7,72.6,69.3,51.4,50,38.7,34.8
,,,176,150,55,180,156,102,280,113,155,269,100,110,88,201,25,159
56,Iona 14,MAAC,110.2,106.7,53.4,50,16.5,18,27,32.1,31,33.4,76.8,69.5,49.3,47.7,39.7,36.1
,,,69,215,56,146,48,201,255,290,283,132,18,114,175,112,14,232
57,Louisiana Tech,CUSA,107.4,100.7,53.4,48,17.7,19.4,29.2,26.2,34.6,26.9,70.7,68.6,52,45.8,37.1,34.7
,,,113,91,57,65,105,118,180,50,192,21,158,76,67,48,76,149
58,La Salle,A10,109.9,108,53.3,54.3,18.6,17.7,25.7,27.6,38.3,33.1,76.6,72.4,52.4,51.3,36.4,39.4
,,,72,239,58,319,183,220,283,103,88,121,19,276,53,245,102,336
59,Ohio,MAC,106.2,99.9,53.2,47.3,17.4,18.1,25.6,27.7,33.7,32.7,68.9,68.6,50,46.8,38.5,32.1
,,,133,82,59,37,89,199,286,107,228,114,222,77,142,75,30,36
60,Princeton 12,Ivy,108.6,96.3,53.2,48.7,15.2,20.2,24.1,24.7,24.4,32,74,69.8,50.5,46.9,37.6,34.5
,,,96,40,60,92,11,63,320,21,350,95,63,136,122,80,59,137
61,South Dakota St. 16,Sum,109,110.6,53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,76.6,71.9,52.7,52.4,35.8,36.9
,,,90,290,61,311,165,309,246,165,65,22,21,254,49,289,132,281
62,Canisius,MAAC,107.9,110.3,53.1,54.5,18.2,20.8,30.2,32.2,30.9,33.8,73.6,73.3,51.4,56,37.1,34.3
,,,109,287,62,326,150,43,139,292,286,146,75,316,87,344,74,125
63,Samford,SC,108,107.1,53,49.8,19,17.2,29.4,31.2,41.5,31.8,74.6,72.6,50.2,49.8,38.9,33.3
,,,107,221,63,134,217,259,170,260,30,85,49,286,135,191,23,82
64,Georgia St.,SB,103.9,100.9,53,49,20,19.8,29.9,29.1,33.9,40,63.7,71.1,53.3,49.4,35,32.4
,,,182,96,64,102,279,90,147,170,223,277,339,216,36,169,169,48
65,Kentucky 2,SEC,119.1,92.3,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,70.4,67.6,52.9,48.3,35.3,30.6
,,,13,7,65,43,19,133,49,104,40,133,168,34,42,128,155,11
66,Texas Tech,B12,111.9,97.6,52.9,50.8,16.5,20.3,30,25.7,35.6,35.6,73.3,71.3,51.9,48.9,36.7,35.5
,,,56,54,66,186,47,55,144,39,166,187,82,229,70,150,91,195
67,St. Francis PA,NEC,102.4,109.6,52.8,50.4,20.7,18.7,29.7,32.4,29.6,23.9,69.7,73.6,50.4,47.3,38.1,36.9
,,,210,272,67,164,312,163,154,302,307,4,193,322,127,88,45,278
68,North Carolina St.,ACC,112.5,106.1,52.7,51.6,18.5,15.6,29.8,31.4,36.2,30.4,70,71.6,52.4,49.5,35.6,36.9
,,,47,206,68,214,179,328,151,271,152,60,184,246,52,172,145,282
69,Tennessee Martin,OVC,106.1,111.1,52.7,52.6,21.6,19,37.4,32.4,34.3,31.1,69.6,70.7,53.2,52.8,34.7,35
,,,138,298,69,263,327,150,9,301,211,74,204,194,39,302,180,171
70,Wofford,SC,109.7,108.3,52.7,53.4,17.5,18,28.1,28.2,31.9,38.3,78.9,73.2,49.4,54.6,38.4,34.2
,,,76,251,70,306,95,203,214,130,273,235,4,311,168,334,36,119
71,Kansas St. 11,B12,112.9,95.3,52.7,49.6,19.1,22.1,29.5,32.3,41.1,33.4,69.5,72.9,51.8,45.5,36.2,38.2
,,,46,30,71,122,221,18,164,298,35,129,206,304,77,40,112,322
72,TCU,B12,114.8,98.1,52.7,50.4,18.8,18.7,34.1,29.3,32.2,30.9,68.7,68.5,52.2,48.3,35.7,36.3
,,,36,62,72,165,201,162,37,177,268,70,230,74,56,129,134,249
73,New Mexico St. 14,WAC,110.3,103.3,52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,70.9,68.4,54.2,49.1,33.5,30.3
,,,68,148,73,61,247,139,21,142,11,180,152,66,25,160,237,9
74,Jacksonville St. 15,OVC,105.4,105.1,52.6,49.4,20.7,16.6,31.2,28.5,33.4,34.4,71.9,72.1,50.8,45.1,37.2,37.8
,,,149,188,74,118,310,296,100,146,233,161,116,265,109,25,72,309
75,Utah St.,MWC,106.6,104.1,52.5,49.2,18.2,15.8,24.9,26.8,35.1,33.7,70.4,69.6,50,47.7,38,34.5
,,,124,168,75,113,145,321,299,67,174,143,167,122,145,110,47,136
76,Portland St.,BSky,103.9,111.7,52.5,56,16.1,22.2,25.7,31.3,38.1,36.8,65.9,72.3,53.9,56.2,33.4,37.2
,,,180,303,76,340,34,16,284,267,95,207,310,273,27,346,242,292
77,Abilene Christian,Slnd,98.5,108.4,52.5,52.8,21,21.4,23,31.7,34.7,44.3,64.4,66.7,50.7,52.1,37.1,36.1
,,,280,253,77,274,319,28,328,280,190,327,334,18,114,273,73,235
78,Baylor 3,B12,117,95,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,71.9,72.5,52.2,45,35.3,32.2
,,,25,28,78,21,307,267,3,181,221,58,115,283,54,24,157,42
79,Nevada 12,MWC,114.7,101.6,52.5,48.3,15.5,15.9,30.4,26.3,41.3,28.2,70.5,69.2,49.2,49.3,38.2,31
,,,37,109,79,78,15,316,127,52,32,35,165,105,176,166,42,15
80,Iowa,B10,113.4,101.9,52.5,51,18.6,19.1,31.8,32.3,34.9,27.5,68.8,68.5,49.9,49.5,37.9,35.8
,,,42,112,80,193,189,138,78,296,183,28,224,73,149,175,51,217
81,UT Arlington,SB,109.9,101.2,52.5,48.9,18.7,20.1,32.6,29.8,34.6,36.6,69.4,65.7,54.7,49.4,33,32.2
,,,73,99,81,97,197,73,66,205,193,204,212,5,18,168,262,44
82,Maryland 6,B10,114.1,98.9,52.4,47.5,19,18,30.4,32.3,38.5,32.6,70.2,70.4,51,45.6,36.3,34.2
,,,39,65,82,44,218,204,129,297,81,108,171,172,101,41,108,121
83,Northern Kentucky 15,Horz,106.5,105,52.4,49.7,18.8,17,31.2,26.4,36.5,30.5,68,71.3,51.6,50.2,35.7,32.4
,,,125,186,83,128,199,269,99,57,144,65,259,233,80,212,136,47
84,Virginia 5,ACC,112.5,87.9,52.4,46.1,15.6,20.7,28.3,24.5,26,33.8,70.9,69.9,49.7,45.1,38.5,31.7
,,,48,2,84,22,17,45,207,15,345,147,150,149,158,26,28,29
85,Santa Clara,WCC,106.3,102.6,52.4,51.8,15.9,19,18.3,24.5,24,35.2,74.3,68.7,47.9,49.3,38.3,38
,,,128,124,85,220,22,143,349,16,351,182,55,79,235,167,38,316
86,USC Upstate,ASun,103,112.3,52.4,50.7,17.9,14.5,30.2,30.2,31.9,29.9,64.6,73,52.8,51.2,34.6,33.2
,,,198,310,86,181,124,345,138,223,272,53,330,310,45,243,188,80
87,UNC Greensboro,SC,107.3,104.8,52.4,50.2,19.9,19.4,34.3,30.4,30.1,34.8,71.1,75.2,50.4,47.6,37,36.4
,,,114,180,87,154,276,123,32,230,299,170,143,345,126,100,80,257
88,Austin Peay,OVC,105.5,117.7,52.4,56.4,17.3,17.6,24.2,35.8,41,29.5,71.7,73.3,52.2,56.9,35.2,37
,,,148,342,88,342,86,223,317,347,39,52,126,317,57,348,159,286
89,Yale,Ivy,106.4,105.9,52.3,49.7,19.3,17,31.2,28.5,33.9,26.3,73.7,72.3,51.8,49.6,35.5,33.2
,,,126,201,89,129,234,271,98,145,224,13,73,271,73,178,149,79
90,Nebraska Omaha,Sum,107.6,108.8,52.3,54,18.3,19.3,28.9,31.3,40.6,33.7,75.4,73.9,49,53,38.4,37
,,,111,261,90,316,158,131,194,266,46,141,34,328,189,305,34,284
91,Liberty,BSth,98.9,103.7,52.3,52.2,16,22,15,24.7,34.2,42.2,74.5,72.8,50.4,52.1,36.1,34.9
,,,273,159,91,240,25,19,351,23,215,312,53,297,124,274,116,165
92,Harvard,Ivy,106.6,102.2,52.3,47.4,19.8,18.4,29.6,29.6,32.3,39.5,75.2,68.2,51.2,47.8,35.9,31.2
,,,123,118,92,40,265,181,161,197,265,263,38,52,94,115,129,21
93,San Francisco,WCC,103.2,95.9,52.3,47.8,18.3,19.4,26.5,27.1,27.2,33.9,63.5,68.1,52.5,46.4,34.7,33.8
,,,194,36,93,56,155,119,268,82,338,151,342,51,50,60,179,103
94,Ohio St.,B10,111.9,100.3,52.2,48.9,19.2,17.5,29.7,28.8,38.1,29.4,68.2,66.4,51.6,45.7,35.6,35.6
,,,55,86,94,98,227,240,156,159,92,49,246,16,81,43,143,203
95,North Dakota St.,Sum,103.5,105.4,52.2,50.4,16.9,17.2,25,28,39.7,31.3,70.6,70.6,50.8,46.7,36.3,37.8
,,,187,194,95,166,62,257,297,122,67,80,161,185,110,70,109,311
96,USC 11,P12,114.1,101.6,52.2,50.1,15.7,17.9,31,31.4,36.8,24,74.1,71.7,51,47.2,36.2,36.8
,,,38,106,96,150,20,206,108,270,139,5,59,249,102,86,113,273
