RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
,,,59,27,39,71,70,198,301,95,210,151,55,287,10,74,224,122
40,McNeese St. 12,Slnd,110.9,101.5,54.2,48.3,14,22.9,31.9,30.6,40.1,33.7,69.6,71.6,52.2,46.6,38.7,33.4
,,,81,98,40,62,17,6,84,255,25,210,282,155,96,32,9,143
41,Tulane,Amer,109.3,107.4,54.1,51.1,15.1,17.3,20.5,32.7,45.5,32.7,73.1,71.4,54.5,50.2,35.5,34.9
,,,105,217,41,210,60,147,357,327,4,183,130,140,36,166,87,250
42,Minnesota,B10,113.7,102.9,54.1,50.4,17.7,16,30.7,28.8,34.7,29.6,69,72.5,54.6,48.9,35.5,35.9
,,,53,131,42,170,220,252,108,170,129,104,297,222,34,102,91,313
43,Utah St. 8,MWC,114.9,101,54,49.8,15.5,16.4,27.8,26.6,39,30.6,71.8,72.6,56.7,52.8,32.5,29.7
,,,39,91,43,136,73,213,218,76,35,126,198,227,11,290,252,7
44,Utah,P12,113.9,97.7,54,48.6,16.2,14.2,27.9,26.1,27.8,25.8,65.5,68.3,53.9,47.3,36.1,34
,,,49,36,44,79,116,330,208,60,310,24,345,19,46,51,56,186
45,James Madison 12,SB,111.7,100.5,53.9,47.2,14.9,19.7,31.8,27.7,34.9,35.1,70,72.8,53.8,48.6,36,29.7
,,,72,83,45,29,47,41,88,113,122,252,267,241,48,92,59,4
46,Clemson 6,ACC,117.1,97.6,53.8,48,14.9,13.8,27.4,25.7,31.1,31.8,79,73.6,54.3,46.9,35.4,33.1
,,,23,34,46,47,46,340,231,51,229,155,8,281,39,44,100,127
47,Air Force,MWC,106.5,111.9,53.8,54.2,18.8,17.6,23.8,31.5,29.6,39.1,68.2,74.7,53.6,53.7,36.1,36.6
,,,151,314,47,338,297,137,325,302,266,310,312,329,55,315,51,329
48,Virginia Tech,ACC,115.7,101.3,53.8,51,16.2,16.9,25,26.2,33,30.2,79.3,73.6,54.8,51.1,34.8,33.8
,,,32,96,48,206,117,178,297,64,167,117,6,280,30,212,136,171
49,Fort Wayne,Horz,103.4,103.6,53.7,51.3,14.7,21.8,22.8,29.4,30.1,32.7,70.5,71.8,53.4,52.8,36.1,32.5
,,,216,142,49,223,41,13,341,203,257,186,256,173,63,293,50,90
50,North Florida,ASun,105.5,111.9,53.6,52.6,16.3,14.4,23.5,29.9,28.3,33.7,78.1,73,53.3,52.3,35.9,35.5
,,,171,313,50,290,130,322,330,218,303,213,14,248,67,269,66,285
51,Kansas 4,B12,113.7,94.1,53.5,48.3,16.5,16.5,25.7,26.5,32.5,28.5,72.2,69.4,54.7,45.8,33.6,34.6
,,,51,14,51,63,144,208,286,72,186,76,170,44,33,21,196,240
52,Washington,P12,114.7,101.2,53.5,50.1,15.9,15.8,27.1,28.9,32.1,33.1,72.2,69.5,53.8,49.9,35.4,33.7
,,,42,95,52,154,97,265,244,176,195,195,174,52,50,152,98,162
53,UC Santa Barbara,BW,104.2,110.7,53.3,50.6,19.1,14.3,25.2,26.6,39.7,31,74.4,68.2,53.4,51.8,35.4,32.1
,,,198,283,53,187,310,325,293,77,26,133,84,16,62,242,99,70
54,Toledo,MAC,111.6,109.5,53.3,54.5,15.1,18.5,29,28.5,35.4,26.3,75.4,72.4,52,56.4,37.7,34.2
,,,74,255,54,345,57,82,167,153,105,30,52,205,106,359,15,203
55,Wofford,SC,105.6,110.3,53.3,51.5,16.9,14.1,29.4,26.2,27.7,34.6,62.4,74.6,53.4,50,35.5,35.7
,,,170,278,55,240,176,333,154,63,315,238,357,325,65,154,93,297
56,North Dakota St.,Sum,103.2,111.1,53.3,53.7,16.8,13.2,24.3,24.7,30.3,28.5,72.5,74,51.4,52.8,37.7,36.8
,,,219,292,56,327,168,350,306,25,252,78,154,306,135,295,16,334
57,Colgate 14,Pat,102.8,102.8,53.3,47.9,16.2,16.2,25.1,24.8,27.5,24.5,68.1,67.2,53.4,49.1,35.5,30.8
,,,221,129,57,44,114,235,296,27,321,13,313,5,59,112,90,24
58,Nevada 10,MWC,115.1,97.8,53.2,48.4,15.2,17.4,27.3,26.9,45,34.2,72.1,70.1,52.5,49.1,36.4,31.6
,,,36,38,58,68,62,141,239,94,6,225,180,72,89,113,38,51
59,Mount St. Mary's,MAAC,102.1,107.1,53.2,49.3,20.7,18,30.2,27.9,26.7,30.3,72.5,75.7,53.3,48,35.2,34.6
,,,236,214,59,106,342,114,122,127,334,120,152,345,66,75,108,239
60,UNC Greensboro,SC,109,106.6,53.2,49.5,16.3,17.7,29.3,30.5,27.3,35.8,73.1,74.2,49.2,48,38.9,34.3
,,,109,198,60,116,131,128,156,249,325,263,129,313,229,76,8,210
61,Weber St.,BSky,107.3,107.2,53.1,54.4,14.8,18.4,23.8,23.7,35.2,29.3,73.8,71.6,53.9,55.2,34.5,35.4
,,,140,216,61,341,42,89,323,11,111,90,103,154,47,348,145,280
62,Nebraska 8,B10,115.9,96.7,53.1,46.7,15.8,16.2,27.6,30.3,32.6,27.7,76,70.1,52.8,45.2,35.7,32.5
,,,30,30,62,20,94,232,221,236,183,59,36,69,79,14,79,91
63,Oklahoma,B12,113,98.2,53.1,47.4,18.1,16.5,30.1,26.2,37.7,31.1,74.3,76,53.9,48.9,34.5,29.9
,,,57,41,63,38,250,210,125,62,58,134,85,349,44,104,148,9
64,Texas 7,B12,116.6,96.4,53,48.1,16.9,18.8,29.9,30.1,30.2,34,75.7,72.1,53.1,47,35.4,33.5
,,,27,25,64,55,178,66,135,223,254,222,42,184,71,46,95,152
65,Saint Joseph's,A10,110.3,101.6,53,49,16.5,17.6,29.1,29.1,28.7,28.7,72.6,72.1,53,48.6,35.2,33
,,,91,99,65,88,149,134,162,186,292,82,149,187,73,93,109,121
66,Iowa,B10,119.4,104.5,52.9,52.2,13.2,16.4,27.4,30.3,33.1,32.9,77.4,70.4,52.9,51.4,35.1,35.8
,,,16,151,66,270,5,211,232,237,165,189,21,85,77,226,118,306
67,Memphis,Amer,111.8,102.7,52.8,50,18,19.1,33.4,33.6,36.3,29.6,72.5,71.5,52.9,49.3,35,34
,,,71,127,67,147,247,57,45,339,86,102,153,147,76,125,122,189
68,Saint Mary's 5,WCC,115.5,93.9,52.8,45.1,16,16.7,38.7,22.3,28,33.4,67.2,71.6,52.7,43.8,35.3,32.3
,,,34,13,68,5,102,191,3,1,304,203,322,158,81,5,103,81
69,Stetson 16,ASun,107.8,114.2,52.8,52.3,15.9,13.5,27.4,31.5,31.8,25.5,76.3,73.4,52.1,52.6,35.9,34.6
,,,136,347,69,278,100,344,230,301,212,21,35,268,103,286,69,237
70,Richmond,A10,106.9,97.2,52.7,46.9,12.8,17.1,17.3,26.6,27.6,26.6,73.2,73,51.8,46.8,36.2,31.4
,,,146,32,70,25,2,161,362,78,316,33,121,252,112,38,46,44
71,Appalachian St.,SB,106.5,99.1,52.7,45.4,15.2,14.5,29.4,27.8,31.6,20.7,68.7,70.2,53.9,44,33.2,32.1
,,,153,59,71,6,63,317,149,115,216,2,300,78,45,7,216,74
72,UMBC,AE,104.4,111.7,52.7,50.3,17.5,14.9,25.5,31,24.1,28.3,70.9,72.7,52.6,52.2,35.3,31.3
,,,193,311,72,166,212,309,289,278,354,74,236,235,83,263,105,40
73,Miami FL,ACC,110.4,101.2,52.7,51,17.2,16.6,28.7,28.5,24.6,22.3,74.5,71.1,51.6,52,36.1,33.3
,,,88,94,73,207,192,200,178,154,353,5,79,125,124,253,52,137
74,Hawaii,BW,104.2,105.1,52.6,48.5,18.6,15.7,25.8,25.3,39,33.6,72.8,72.9,53.8,49.3,34,30.8
,,,199,170,74,72,285,276,284,39,33,208,139,243,49,124,176,25
75,Northwestern 9,B10,115.5,98.6,52.6,51.5,13.4,18.8,25.8,27.8,29.2,39.3,75.2,72.1,49.2,51.4,39,34.5
,,,33,49,75,241,8,64,285,121,283,314,58,185,231,228,7,229
76,High Point,BSth,114.6,109.4,52.6,50.2,16.1,14,36.8,25.4,43.6,37.9,78.6,72.1,54,49.7,33.7,34.2
,,,44,254,76,161,108,335,11,40,7,296,10,183,43,144,194,207
77,Little Rock,OVC,105.8,107,52.6,48.2,17.5,17.8,31.9,30,32.8,35.4,74.8,74.1,53,48.1,34.5,32.3
,,,168,210,77,59,210,124,85,220,176,258,70,310,72,78,146,82
78,Texas Tech 6,B12,116.8,99.1,52.6,49.2,16.5,17,30.2,30.3,34.2,27.2,78,71.4,51.6,49.8,35.9,32.2
,,,24,60,78,100,150,167,121,233,138,46,15,138,123,147,64,78
79,Boston College,ACC,112.6,102.1,52.5,50.5,15.3,15.7,27.3,26.3,25,28.1,75,75,51.4,49.6,36.2,34.6
,,,62,114,79,181,65,272,236,65,349,68,66,332,133,143,48,236
80,American,Pat,102.2,113.3,52.5,53.4,17.3,17,27.9,25.6,28.4,29.8,72.4,69.9,52.8,51.9,34.7,36.9
,,,232,335,80,320,198,169,210,49,299,108,160,65,80,247,141,338
81,Southern Illinois,MVC,108.7,103.5,52.5,50.1,16.8,16.2,26.1,25.6,35.9,36.5,77,71.2,53.4,52.1,34.3,30.4
,,,117,141,81,155,169,238,277,50,95,277,28,129,58,258,158,15
82,Columbia,Ivy,106.5,110,52.5,52.8,17.8,17,27.9,28.6,29.3,28.5,73.2,73.3,50.2,54.1,37.4,33.9
,,,154,270,82,299,228,173,209,160,275,79,127,266,182,330,18,174
83,Green Bay,Horz,101.9,109.2,52.4,49.4,18.6,14,27.3,28.4,29.4,34.2,72.7,72.7,53.7,51.6,34,30.2
,,,241,247,83,113,287,337,240,147,269,226,147,233,51,234,177,13
84,LSU,SEC,110.9,101.4,52.3,49.7,18.6,18.2,30.7,31.4,38.3,33.7,72.3,75.4,51.5,49.4,35.7,33.5
,,,82,97,84,131,289,98,113,295,44,211,164,340,129,131,75,150
85,UC San Diego,BW,110.8,107.7,52.3,50.4,14.4,16.9,27.8,27.8,32.4,29.5,74.3,72.1,52.2,50.4,34.9,33.6
,,,84,221,85,171,33,176,217,116,189,100,87,186,97,175,129,159
86,Santa Clara,WCC,108.7,103.4,52.3,48.4,18.2,14.4,34.1,26.1,31.6,33.3,71.4,70.4,52.6,48.9,34.5,31.7
,,,115,137,86,69,263,323,32,58,218,197,213,88,84,105,151,54
87,St. Bonaventure,A10,111.2,104,52.3,51.1,16.2,19.2,29.7,28.5,32.2,33.9,77.4,69.5,50.8,51.8,36.5,33.5
,,,78,147,87,211,119,53,145,152,191,219,22,47,157,244,35,149
88,Fairfield,MAAC,107.8,109.9,52.3,52.4,15.4,20.3,28.1,30.8,28.9,25.8,75.7,70.2,50.5,53.1,36.5,34
,,,137,266,88,281,72,31,202,268,286,23,43,74,169,303,34,185
89,Ohio,MAC,107.9,105.8,52.2,49.2,14.1,19.2,28,31.9,32.1,34.7,72.9,70.1,51.9,48.4,35.1,33.8
,,,134,185,89,101,22,52,207,312,194,241,134,71,108,87,115,169
90,College of Charleston 13,CAA,113.7,105.5,52.2,51.2,14.3,16.2,33.7,26.4,27.2,29.3,72.3,70.3,52.5,50.8,34.7,34.5
,,,52,180,90,216,30,229,40,68,327,91,166,82,90,195,142,231
91,VCU,A10,108.8,98.3,52.2,46.5,18.2,16.7,28.1,26.9,35.3,34.6,78.2,73.7,51.1,46.6,35.8,31
,,,112,44,91,16,266,195,204,93,106,236,13,286,145,33,71,31
92,Wisconsin 5,B10,118.6,98.9,52.2,52,14.9,16.9,30.2,24.5,33.8,33.8,75.5,72.4,52.2,50.2,34.9,36.9
,,,18,56,92,261,45,177,123,19,148,216,50,204,101,168,130,337
93,Iowa St. 2,B12,114.1,87.4,52.2,47.3,15.5,25.5,31.4,29.4,35.3,34.3,69.9,71.5,51.6,47.2,35.6,31.5
,,,46,2,93,35,79,2,98,200,107,229,271,150,122,48,82,48
94,Indiana,B10,109.9,100,52.1,49,17.5,14.9,26.9,29.7,37.7,31.6,66.4,75,53.4,47.4,32.4,34.3
,,,100,72,94,89,209,308,255,213,59,145,332,333,64,54,255,218
95,Yale 13,Ivy,109.9,101,52.1,50.4,14.3,16.2,27.8,24.2,27.8,29.4,70.5,73.9,51.9,49.4,35,34.5
,,,99,90,95,172,28,228,216,15,311,95,253,302,109,130,123,230
96,Florida Gulf Coast,ASun,102,108.3,52.1,52.8,17.6,15.8,29.6,28.3,27.2,29.3,70,69.8,50.8,52,36.2,35.9
,,,237,233,96,300,215,267,147,145,329,92,270,61,161,255,47,312
97,Furman,SC,108.9,107.5,52.1,52.9,15.9,16.2,29.4,26.6,31,28.5,73.5,68.8,54.3,53.9,33.2,34.1
,,,111,218,97,305,95,233,151,74,235,77,113,28,40,322,213,199
98,UNC Asheville,BSth,106.1,106.9,52.1,50.1,17.1,16.9,27.3,31.4,40.8,34.3,75.1,71.5,50.5,50.6,36.4,32.9
,,,162,207,98,156,190,181,241,297,17,228,61,146,168,183,39,113
99,UT Arlington,WAC,109,103.4,52.1,49,21.5,18.6,32.8,29.4,39,42,73.8,74.5,51.3,47.4,35.4,34.6
,,,108,139,99,90,354,79,69,199,34,338,99,321,137,55,96,238
100,Niagara,MAAC,101.5,111.1,52,52.2,17.4,16.5,23.4,26.8,36,30.7,74.8,71,51.2,52.1,35.9,35
,,,247,295,100,271,203,209,331,87,93,129,71,118,141,259,65,254
101,Campbell,CAA,100.6,112.1,52,52.2,18.1,16.4,23.8,31.2,33.7,23.6,71.9,72.2,52,52.9,34.6,34.1
,,,261,319,101,272,261,221,322,289,150,11,191,194,105,296,144,198
102,George Mason,A10,108.9,100.6,52,48,18.1,16.4,31.7,27.4,36.7,31.8,74.2,72.4,52.3,45,34.3,34.8
,,,110,84,102,48,252,220,91,106,80,154,90,207,91,12,156,246
103,Winthrop,BSth,106.2,106.3,51.9,49.5,18.7,18.2,30.4,32.9,50,34.3,69.6,76,52.8,50.6,33.7,32
,,,159,191,103,117,291,99,119,332,1,227,283,351,78,182,191,65
104,South Dakota,Sum,103.4,116.8,51.9,53.1,18.3,11.7,27.5,28.6,30.5,27.3,75.1,73,49.6,52.3,37.6,36.2
,,,217,357,104,311,273,361,226,161,245,50,63,250,210,275,17,321
105,Penn,Ivy,108.6,111.9,51.9,54,16.7,14,29.1,26.6,27,26.7,68.5,71.6,51.2,53.9,35.3,36.1
,,,120,312,105,333,159,336,161,75,332,36,305,157,142,323,106,320
106,Butler,BE,112.2,99.1,51.9,50,15.4,16,26.3,29,26.7,22.3,78.8,73.9,51.5,50.9,35,32.4
,,,66,57,106,148,71,249,269,182,335,4,9,295,128,202,124,85
107,Oregon 11,P12,114.2,99.5,51.9,51.5,14.7,17.8,28.6,27.3,32,32.3,71.9,72.3,52.6,51,33.8,34.9
,,,45,65,107,242,40,120,183,103,200,172,190,199,86,206,182,252
108,Delaware,CAA,104.4,103.8,51.9,48.7,16,15.1,27.5,27.9,30.9,27.1,70.7,70.7,53.2,49.7,33,31.3
,,,195,145,108,82,103,300,225,129,236,44,244,106,70,145,226,41
109,Oakland 14,Horz,108.7,104.4,51.9,50.6,15.9,16.2,30.4,28.8,30.8,26.9,75.1,73.5,51,50.5,35.5,33.9
,,,118,149,109,188,96,234,118,171,238,39,60,276,148,178,89,176
110,UC Irvine,BW,108.7,99.9,51.8,46.4,16.7,17.4,31.4,27.4,34,35.2,75.2,71.1,51.6,44.6,34.9,33.8
,,,114,70,110,13,162,143,99,107,141,254,54,124,125,11,128,170
111,Denver,Sum,105.9,115.8,51.8,54.7,14,14.2,27.3,27.6,35,32,71.8,73.8,51.2,54.4,35.1,36.8
,,,166,352,111,351,16,327,238,111,121,162,199,291,143,335,121,335
112,Washington St. 7,P12,112.9,96.5,51.8,47.2,16.4,15.7,32.9,25,31.6,32.3,70.4,73.1,52.2,46.5,33.9,32.5
,,,60,26,112,30,136,273,58,29,217,173,257,258,95,31,180,94
113,Florida 7,SEC,120.6,100.2,51.8,49.3,15.7,14.5,37.3,28.8,38.4,34.8,71.5,71.2,51.8,49.5,34.5,32.6
,,,12,77,113,107,87,318,8,169,40,242,210,134,114,137,150,98
114,South Florida,Amer,110.4,100.9,51.8,47.9,15.6,18.5,28.2,30.5,37.8,34.6,73.7,67.1,49.5,48.2,36.7,31.5
,,,90,88,114,45,82,83,199,251,55,235,105,4,212,82,29,46
115,UNLV,MWC,112.5,99.9,51.8,49.5,16.1,17.8,29.4,31.5,33.7,30.1,73.4,75.3,52.2,50.4,34,32
,,,63,71,115,118,113,122,153,300,149,114,115,338,94,174,175,64
116,Howard 16,MEAC,104.6,113.6,51.7,51.1,21.2,16.6,33.3,30.3,42.1,38.4,75.2,69.9,49.1,50.9,37.2,34.4
,,,190,340,116,212,346,205,50,231,12,301,57,62,234,203,20,222
117,Akron 14,MAC,105.1,101.8,51.7,49.1,16.9,16.7,29.2,25.6,32.7,29.4,72.4,69.6,54.7,50.8,31.7,30.7
,,,177,106,117,95,175,193,157,48,179,94,159,55,31,194,291,22
118,Western Carolina,SC,108,102,51.7,47.2,14.7,13.3,29.1,24.2,27.7,32.4,71.2,70.7,49.8,45.5,36.8,33.9
,,,133,112,118,31,37,347,164,14,314,177,224,105,207,16,27,175
119,North Carolina 1,ACC,118.4,93.9,51.7,46.4,14.1,14.8,32.6,23.3,36.7,28.2,75.6,74,50.6,45.8,35.8,31.7
,,,19,11,119,14,18,310,72,6,79,69,44,305,164,22,72,53
120,USC,P12,110.5,99.1,51.7,50.2,17.9,18.8,29,32.2,33.6,31.6,69.3,73.8,50.7,47.4,35.5,36.5
,,,87,58,120,162,240,68,168,318,153,146,289,293,163,56,86,326
121,Western Kentucky 15,CUSA,105.4,101.7,51.7,48.6,18.4,18.4,28.7,26.7,32.1,33,72.1,68.2,51.8,48.6,34.3,32.4
,,,173,102,121,80,278,90,180,79,193,191,178,17,113,94,154,86
122,Vermont 13,AE,104.1,98.6,51.6,46.8,13.9,15.1,22.3,23.5,29.2,26.8,71.8,72.3,52.9,46.5,33.3,31.5
,,,201,48,122,23,14,299,346,9,277,37,194,200,75,30,208,49
123,Northern Iowa,MVC,109.2,102.5,51.6,52.2,15.2,16.5,23.9,22.5,37.4,30.5,71.4,77,51.9,52,34.1,35
,,,107,124,123,273,61,206,320,3,65,123,215,358,111,252,168,256
124,Michigan St. 9,B10,113.2,93.3,51.6,48,15,18.5,29.8,28.5,29.3,32.4,70.8,71.5,50.5,47.4,36.2,32.6
,,,55,9,124,49,54,81,139,151,272,176,237,149,166,57,44,97
125,Loyola Marymount,WCC,108.3,109.6,51.6,50.4,16.3,12.4,29.4,27.1,28.8,28.3,73.5,73.6,49.2,49.8,36.8,34.3
,,,122,258,125,173,125,359,150,98,289,71,111,282,230,148,28,211
126,Pittsburgh,ACC,116.4,98.8,51.6,49,13.4,16.6,31,23.8,30.5,30.5,70.8,76,50,50.8,35.7,30.8
,,,29,54,126,91,7,197,105,12,244,125,240,350,192,197,78,23
