RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
,,,42,59,49,95,49,122,244,9,9,329,124,328,85,33,33,239
50,Missouri 3,B12,117.1,91.6,52.7,46.3,16.3,25.1,34.3,34.7,36.6,39.9,67.2,67.4,52.7,46.7,35.2,30.3
,,,9,17,50,49,6,11,111,250,169,257,233,85,27,104,114,16
51,Northwestern,B10,110.8,98.7,52.6,49.6,18.5,24.6,27.8,35.8,29.4,36.5,69,70.8,48.7,48.5,38.6,34.2
,,,50,98,51,187,54,12,308,284,324,179,170,275,139,188,23,164
52,Lipscomb,ASun,105,103.5,52.5,47.8,23.1,18.7,37.1,30.4,45.7,32.1,66.8,65.3,51.8,47.2,36,32.6
,,,117,201,52,105,291,287,41,74,10,73,244,22,45,127,89,73
53,New Mexico St.,WAC,108.8,105,52.5,48.8,18.8,20.6,32.1,37.9,37.7,35.4,70.1,70.3,49.3,48,40,33.8
,,,68,240,53,149,65,167,194,327,140,150,128,246,115,157,11,141
54,Stanford,P10,112.5,97.7,52.5,51.9,18.5,22.1,32,31.3,33.5,32.8,70.5,68.8,49.9,51.7,38.4,35.1
,,,36,78,54,288,53,89,198,113,242,88,116,161,92,305,25,226
55,UT Arlington,Slnd,108.3,107.7,52.5,51.3,19.2,19.5,31.6,30.9,35.7,43.2,75.5,68.2,53.4,50.8,33.8,34.7
,,,75,278,55,271,85,233,208,93,194,299,17,119,20,276,175,196
56,Wake Forest 4,ACC,111.9,93.4,52.4,45.2,21.1,20.9,36.1,31,43.5,32.7,71.1,70.5,53.6,45,32,30.4
,,,43,31,56,31,203,150,60,98,25,83,96,255,15,57,261,19
57,Northern Colorado,BSky,102.5,105.7,52.4,53.8,22.9,20.5,30.5,28.9,44.7,36.1,72.4,70.2,48.2,50.8,40.3,39.5
