RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
248,Monmouth,NEC,92.9,112.1,47,51.3,22.7,19.6,30.4,34.3,33.3,36.7,70,70.2,45.1,50.2,33.5,35.5
,,,302,325,248,273,280,230,252,239,251,182,133,242,275,262,191,248
249,Iona,MAAC,94.4,97.7,47,47.9,23.7,23.8,32.1,30.7,47.5,41.4,65.8,70.4,45.5,47.3,33.2,32.6
,,,286,80,249,114,308,26,197,83,3,274,267,251,265,132,205,77
250,Houston,CUSA,108.3,97.5,47,46.4,13.9,21.7,33,35,36.5,32.5,74.6,70.9,46.4,45.1,32.3,32.8
,,,74,74,250,52,2,107,154,265,173,80,24,277,235,61,249,89
251,Centenary,Sum,94.8,102.7,47,51.1,20.1,23.3,26,37.2,31.9,49.6,67.9,69.5,44,50,34.5,35.7
,,,282,187,251,260,147,41,331,317,285,336,201,207,297,253,135,256
252,Southeast Missouri St.,OVC,94.9,116.4,47,52.8,21.6,16.3,28.9,37.3,36.5,34.3,69,70,46.6,51.7,32,36.6
,,,281,341,252,313,228,337,280,322,178,127,173,238,228,308,263,292
253,Dayton 11,A10,102.7,92.7,47,45.6,20.5,22.2,37.6,30.1,38.2,36.9,64.7,69.7,46,44.8,32.8,31.2
,,,156,22,253,37,167,86,32,68,123,188,294,222,248,51,230,32
254,Louisiana Lafayette,SB,97.5,104.8,47,50.7,20.5,21,31.6,35.1,33.6,46.6,67.7,69.2,46.4,48.9,31.9,36.8
,,,243,233,254,246,173,144,210,267,241,325,212,194,237,211,266,301
255,Charlotte,A10,103.4,101.2,46.9,49.6,19.2,22.4,33.4,35.9,32.8,41.1,68.2,72,47.6,46.2,30.6,36.9
,,,141,152,255,191,89,72,145,286,268,269,190,315,186,89,310,306
256,Cleveland St. 13,Horz,104.5,93.5,46.9,46.4,18.9,24.4,33.5,33.8,36.6,37.7,70.5,69,47.4,45.2,30.4,32.8
,,,130,34,256,53,67,13,139,224,170,206,111,179,191,65,312,91
257,Oregon,P10,104.1,102.5,46.9,55.1,21.4,21.4,32.7,36.4,37.9,43.5,67.3,70.8,42.7,53.6,35.8,39.1
,,,135,181,257,337,217,124,169,302,136,301,231,276,321,332,93,339
258,Houston Christian,ind,93.9,112.9,46.9,55,21.7,19.5,28.4,36.9,32.4,39.7,65.8,73.5,45.9,55.3,32.3,36.2
,,,291,333,258,336,233,235,296,312,278,251,271,339,256,339,252,274
259,UTEP,CUSA,107.5,98.1,46.8,48.6,17.2,20.4,33,29.8,46.4,43.8,71.6,71.5,46.7,48,31.2,33.3
,,,86,84,259,141,15,176,160,56,7,304,83,297,222,161,296,114
260,Texas A&M Corpus Chris,Slnd,98.9,99.4,46.8,48.3,24.7,22,37,32.4,41.7,38.6,67.1,69.1,46.8,49.2,31.1,31
,,,227,116,260,129,324,94,43,156,43,227,236,184,216,221,298,28
261,Georgia St.,CAA,97.7,103.1,46.8,50,20,20.8,30.8,33,30,35.2,61.6,66.4,46.3,49.3,31.8,34.1
,,,240,190,261,214,137,154,240,188,316,147,332,46,239,228,268,162
262,Wright St.,Horz,99.9,93.8,46.7,44.6,19.9,24,29.6,34.6,40.6,37.7,69.1,68.1,45.7,41.6,32.3,33
,,,214,37,262,16,131,20,265,247,59,202,165,117,262,9,246,101
263,Georgia,SEC,95.6,97.4,46.7,48.2,24.6,20.9,34.1,33.1,30.2,28.3,63.8,68.7,44.6,47.5,34.2,33
,,,273,72,263,124,323,151,117,196,312,19,309,157,283,139,155,98
264,Army,Pat,87.4,98.3,46.7,48.4,23.4,27,24.8,34,29.2,38.4,69,67.5,45.2,46.9,33.7,33.8
,,,337,89,264,135,300,3,335,229,326,224,169,89,274,117,177,143
265,Illinois Chicago,Horz,105.1,102.4,46.5,47.6,19.8,19.7,35.5,32.1,32.2,32.7,77.2,69.9,43,46.8,36.2,32.5
,,,115,179,265,98,118,214,76,142,280,85,8,232,318,114,76,67
266,Toledo,MAC,91.9,105.2,46.5,49.5,26.2,21,32.2,36.4,33.8,35.6,65,68.6,47.4,48.3,29.5,34.5
,,,310,242,266,184,340,147,187,303,235,157,286,151,194,178,328,186
267,Cal Poly,BW,97.4,105.8,46.5,51.9,17.7,19.7,28.6,33.5,30.5,30.4,70.8,68.2,44.1,49.7,33.9,37.5
,,,245,251,267,289,27,213,290,216,308,46,103,120,294,239,167,321
268,Tulane,CUSA,98.2,98,46.4,49.3,20.6,22.8,31.6,32.8,36.9,41.9,67.9,71.6,45.3,48.4,33,34.2
,,,235,83,268,174,176,57,207,173,162,283,199,299,269,185,219,167
269,Buffalo,MAC,101.1,97.6,46.4,48.7,21.3,22.4,38.2,28.3,35.4,36.3,64.5,68.8,44.5,47.3,34.4,34.5
,,,187,77,269,147,214,73,26,24,198,173,300,164,287,133,145,180
270,Morgan St. 15,MEAC,99,98.8,46.4,44.7,19.5,22.8,38.4,32.9,33.1,41.7,64.6,68.9,44.9,44.6,33.7,30.2
,,,222,102,270,21,102,55,25,177,255,279,296,171,277,44,179,14
271,LIU Brooklyn,NEC,99.9,106.8,46.4,49,19.1,19.4,35.5,29.6,42.5,32.4,71.8,63.5,44.2,48.2,33.9,33.7
,,,215,265,271,159,75,241,75,50,31,77,77,6,293,176,168,138
272,McNeese St.,Slnd,93.6,100.2,46.4,44.4,23.8,18,34.6,32.5,32.6,31.6,64.5,66.9,45.4,41.9,32.6,33
,,,294,135,272,14,311,317,99,161,273,63,299,65,268,11,238,100
273,Florida Atlantic,SB,100.6,112.5,46.3,50.5,18.7,16.7,32.2,35.4,33,38.2,73.9,72,45.2,50.6,32.5,33.4
,,,201,328,273,238,63,333,189,276,262,217,32,312,273,271,243,119
274,Virginia,ACC,102.6,96.3,46.3,49.1,20.7,19.7,35.1,32.6,32.2,34.9,74.2,70.4,45.9,48.6,31.6,33.4
,,,158,62,274,164,182,219,90,167,281,140,29,248,253,195,277,120
275,Lamar,Slnd,99.8,104.3,46.3,49.6,19.8,19,31.9,31.4,42.8,38,72.4,73.4,46.9,48.2,29.9,35
,,,216,220,275,192,116,268,202,116,29,212,64,338,212,174,318,225
276,UMBC,AE,101.1,109.7,46.3,51.5,15.2,18.1,28.4,33.3,33.8,30.9,70.5,67.8,46.2,50.2,31,35.9
,,,186,302,276,280,3,311,295,209,237,52,113,102,245,260,306,268
277,Bryant,ind,93.4,114.4,46.3,53.2,21.5,20.7,27.1,36.4,30.8,35.5,66.2,67.5,44,50.6,32.9,38.2
,,,298,340,277,321,220,162,320,304,305,155,255,93,298,272,227,330
278,Arkansas St.,SB,95,100.9,46.3,47.6,20.4,19.9,32.3,29.9,33.4,32.1,67.5,70.9,45.9,44.8,31.4,36.4
,,,280,147,278,99,162,199,183,61,244,75,221,278,257,53,289,285
279,Rutgers,BE,97.6,95.5,46.3,46,23.2,17.8,34.5,32.9,32.2,32.8,71.9,69.2,47.2,45.6,29.6,31.4
,,,241,52,279,44,295,320,104,180,279,91,73,190,201,72,326,35
280,Missouri St.,MVC,99,101.1,46.2,49.8,20.8,21.1,32,30.9,38,43.1,67.9,69.8,45.3,49,31.8,34.5
,,,224,151,280,205,189,140,200,92,129,296,200,228,270,215,267,184
281,Nevada,WAC,105.6,98.8,46.2,47.6,17.4,19.7,33.8,31.6,40.4,41.2,74,67.3,46.8,44.8,29.8,36.8
,,,109,99,281,100,20,212,134,123,62,270,31,75,219,50,320,302
282,St. John's,BE,102.3,97.1,46.2,50.2,22,21,38.1,32.4,37.2,35.5,64.9,66,46.7,48,29.9,36.9
,,,166,69,282,223,241,146,28,155,157,154,290,32,223,162,317,307
283,Southern Miss,CUSA,105.6,104.6,46.2,51.2,15.5,18.7,30.5,29.1,39.9,39.9,72.2,71.6,46,49.2,31.3,36.5
,,,110,227,283,267,4,284,249,38,74,253,69,298,252,222,291,289
284,Milwaukee,Horz,103,102.6,46.2,46.8,19,17,33,30.9,34.5,33.7,71.4,68.4,42.6,44.7,34.2,34.6
,,,149,183,284,69,71,328,156,91,215,109,88,135,324,48,157,191
285,Stony Brook,AE,96.6,98.4,46.1,48.8,20.1,23.6,32.1,29.1,35.7,36.9,68.6,65.6,43.7,50.2,34.4,31.1
,,,258,91,285,153,141,30,195,37,192,189,182,25,306,263,143,29
286,High Point,BSth,90.8,105,46.1,49.5,24.3,20.4,35.9,33.9,27.4,35.2,62.9,65.5,46.5,48.7,30.1,33.8
,,,320,235,286,185,319,180,70,226,336,148,318,24,229,202,315,150
287,Hawaii,WAC,96.8,99,45.9,48.5,24.1,21.6,39.9,33,44.8,39.7,70.7,70.5,46.8,46.7,28.6,35.2
,,,256,111,287,139,315,117,9,185,16,249,104,256,218,108,333,238
288,Prairie View A&M,SWAC,93.7,106.5,45.9,49.8,21.9,23.2,34.1,34.7,39,39.9,63.7,64,45.5,48.4,31.2,35.3
,,,293,260,288,206,239,46,121,251,98,255,310,8,267,184,293,242
289,Grambling St.,SWAC,89,116.6,45.9,52.9,23.1,19.1,29.1,35.3,33.1,36,61.1,65.8,44.6,52.1,32.3,36.3
,,,331,342,289,317,292,266,277,274,259,163,337,29,284,315,253,279
290,UMKC,Sum,98.3,110.2,45.8,52.7,19.4,19.1,31.7,32.2,34.9,46.1,70.5,72,45.7,54.1,30.6,33.1
,,,234,307,290,311,95,258,205,148,208,322,117,313,263,334,311,106
291,Coppin St.,MEAC,98.3,107.8,45.8,50.8,19.2,24.2,29.7,40,31.1,31.4,71.4,65.7,43.8,51.4,33.7,33.3
,,,233,280,291,250,92,17,264,340,299,59,90,27,301,298,178,113
292,Towson,CAA,100.3,108.4,45.7,50,19.6,19.4,33.4,36.8,33.4,34.6,66.7,68.3,45.2,50.6,31.2,32.5
,,,207,290,292,215,106,242,143,310,246,135,247,132,271,270,297,70
293,Youngstown St.,Horz,100.4,105.3,45.7,49.2,20.4,18.8,34.4,34.1,37.1,41,65.9,70,43.7,48,33.9,34.5
,,,204,244,293,170,165,278,106,231,159,268,262,239,308,163,170,182
294,Fairleigh Dickinson,NEC,90.7,112.5,45.6,53,24.4,20.7,32.2,39,42.4,31.9,63.6,69.7,46.9,52,28.1,37
,,,322,329,294,319,322,165,185,334,32,69,311,224,213,310,338,311
295,Southern,SWAC,90.8,110.9,45.6,50.7,25.1,19.3,35.9,30.7,37.9,32,65.7,64.5,44.2,50.8,32.5,33.6
,,,321,315,295,247,330,252,68,82,133,70,273,13,292,279,242,131
296,Florida Gulf Coast,ASun,92,105,45.6,49.3,24.8,21.7,31.1,35.6,43.5,40.7,70.1,66.6,43.3,49.5,33.7,32.7
,,,309,237,296,175,326,112,236,279,26,266,129,49,311,236,180,82
297,DePaul,BE,101.5,103.7,45.5,51.9,18.9,19.4,33.3,38.2,31.7,25.7,61.6,69.3,46.1,51,29.6,35.7
,,,179,209,297,290,68,240,147,328,288,8,333,200,247,285,325,261
298,USC Upstate,ASun,92.4,103.7,45.5,48.4,23.8,19.4,32.1,35.7,32.9,32.8,66.1,70.9,44.7,44.4,31.6,37.5
,,,307,208,298,136,312,248,191,281,264,90,256,279,282,41,278,322
299,Western Michigan,MAC,97.5,105.3,45.5,47.3,20.6,18.8,30.7,32.2,40,39.1,70.1,67.7,44.7,45.6,31.1,33.8
,,,242,243,299,91,175,281,243,151,68,237,127,97,279,74,299,149
300,Albany,AE,96.5,103.6,45.5,49.2,23.1,18.8,38.6,25,34.4,43.5,71.9,66.8,46,49.8,29.4,32.1
,,,261,205,300,171,288,282,24,1,218,302,75,56,249,243,330,52
301,Ball St.,MAC,94.1,100.4,45.4,46.5,21.1,19.1,31.2,29.6,38.4,38,61.1,64.3,43.5,46.7,33.9,30.6
,,,288,140,301,59,202,262,230,53,116,214,336,12,309,109,169,23
302,Sacramento St.,BSky,89.1,113.3,45.4,55.6,22.8,18.5,26.4,34.8,35.4,35.7,69.2,69.7,41.7,54.4,36.1,38.6
,,,330,335,302,341,282,297,323,257,200,160,164,217,334,336,83,332
303,Canisius,MAAC,93.5,98.8,45.3,44.3,23.7,19.1,34,34.5,33.9,40.7,61.6,68.3,46.4,43.6,28.7,30.5
,,,295,104,303,13,309,267,127,243,230,267,331,133,233,31,332,22
304,Furman,SC,91.1,109.4,45.3,53.7,21.6,19.6,29.6,34.7,34,44.5,69,67.9,44.7,52.4,31,37.4
,,,317,299,304,327,226,229,266,254,229,310,174,108,281,323,305,320
305,Colgate,Pat,90.3,105.4,45.3,46.4,23.3,19,28.1,35.1,37.9,34.4,67.1,69.7,44.2,45.8,31.7,31.8
,,,325,247,305,54,299,274,305,269,130,131,235,220,291,80,273,43
306,Columbia,Ivy,91.4,100.9,45.1,46.2,21.6,23.2,30.9,31.4,34.9,40,66.9,72.3,44,46.5,31.7,30.6
,,,314,148,306,48,223,45,238,117,206,259,240,318,295,101,270,24
307,Cal St. Bakersfield,ind,98.7,108.1,45.1,52.1,19.6,21.1,34,37.7,36,37.3,68,73.1,43.2,49.5,32.3,38.7
,,,230,288,307,299,107,139,124,326,189,196,196,335,315,237,250,335
308,Loyola Chicago,Horz,98.9,104.2,45,49.6,20.2,21.9,35.9,36.2,32.7,33.7,67,71.6,44,48.1,31.7,35.1
,,,226,215,308,193,151,98,69,296,270,110,238,301,296,170,271,231
309,SIU Edwardsville,ind,86.9,102.3,45,51.3,23.5,19.5,19.7,36,29.9,41.4,69.9,64.2,43.1,50.1,32.5,36.8
,,,338,178,309,274,302,236,343,292,321,277,139,9,316,257,241,300
310,Dartmouth,Ivy,93.5,107.9,45,50.4,21,21,30.1,32.8,31.3,42.9,65,70.7,42.9,47.9,33.6,38.6
,,,296,283,310,233,199,145,259,176,295,294,285,271,320,151,187,333
311,New Hampshire,AE,96.1,104.4,45,48.9,20.5,18.8,33.1,27.9,31.5,48.7,65.1,67.2,42.6,48.6,32.1,33
,,,268,224,311,156,166,279,152,19,291,332,283,74,323,196,258,102
312,Detroit,Horz,90.2,100.1,45,50.2,26.4,21.8,32.8,32.9,39.3,45.6,64.8,68.7,45.9,47.6,28.1,37
,,,326,133,312,224,341,106,164,181,93,319,292,156,258,142,337,310
313,Florida A&M,MEAC,89.6,109.8,44.9,51.1,20.3,22.5,26.1,38.4,32.7,39.1,62.2,66.6,42.9,50.7,32.1,34.7
,,,328,303,313,261,159,65,329,331,272,239,326,51,319,275,255,200
314,Alcorn St.,SWAC,90.4,117.1,44.8,53.5,19.7,20,25,39.6,36.1,37.5,67.5,67.5,42.2,54.5,33.7,34.2
,,,324,343,314,324,113,195,334,338,186,199,223,91,329,337,182,166
315,Louisiana Monroe,SB,96.1,108.9,44.8,51.6,22.6,19.3,33.2,33.7,40.2,39.4,71.8,70.4,42.5,49.7,33.2,37.8
,,,267,297,315,282,275,251,150,220,66,242,78,250,327,241,209,328
316,Stetson,ASun,95.6,103.4,44.7,50.1,20.5,21.3,33.3,33.1,29.9,39.3,63.9,66,43.2,49.7,31.3,34
,,,274,199,316,218,171,128,148,197,320,241,308,33,314,240,290,159
317,South Florida,BE,100.7,98.3,44.7,47.2,20,18,34.4,35.2,34.9,37.7,59.8,64.5,44.7,46.8,29.7,32.2
,,,198,88,317,85,140,316,105,270,207,207,341,14,278,113,324,57
318,UNC Greensboro,SC,93.4,111.9,44.7,51.3,22.4,18.2,35.2,38.7,36.5,34.8,65,65.2,43.8,51.5,31.1,34
,,,297,323,318,275,266,309,86,332,177,138,288,21,303,299,300,160
319,Winthrop,BSth,91.7,101.9,44.6,48.8,20.6,20,32.3,33.6,26.4,37.7,67.7,70.7,45.5,47.1,28.2,34.3
,,,312,168,319,154,177,196,184,218,341,208,210,267,266,124,336,174
320,Manhattan,MAAC,96.8,98.6,44.6,48.6,20.7,21.3,34.6,28.8,44.5,39.7,64.7,65.6,43.5,47.1,31.5,34.3
,,,255,96,320,142,179,129,102,31,18,250,295,26,310,126,280,173
321,Saint Peter's,MAAC,93.4,101.5,44.4,47.4,23.6,24.4,35.4,37.6,38.4,43.8,66.3,68.2,41.7,46.1,34.3,33.1
,,,299,157,321,94,307,15,80,324,118,305,252,125,333,86,147,105
322,Bucknell,Pat,93.2,105.9,44.4,46.5,20,16.4,27.4,29.8,29.9,40.3,67.8,69.5,40.6,46.3,34.3,31.2
,,,300,252,322,60,135,336,314,57,319,261,204,208,340,97,152,31
323,North Florida,ASun,88.3,108.1,44.2,50.3,23.4,20.3,28.3,36.3,32.8,47,58.6,69.1,42.2,47.2,33.1,37.4
,,,333,287,323,227,301,185,300,301,269,326,343,187,330,128,215,319
324,Loyola MD,MAAC,101.9,108,44.1,48.4,19.8,19.9,35.7,36.6,36.5,49.7,77.6,70.8,42.6,48.1,31.5,32.8
,,,175,286,324,137,122,198,73,306,174,337,6,273,322,171,282,90
325,Hofstra,CAA,97,98.5,44,44.9,22.3,19.9,39.4,31.8,38.1,45.7,69.5,67.6,42.5,42,31.6,34.1
,,,252,93,325,26,260,205,17,128,127,320,150,94,326,13,276,163
326,Eastern Michigan,MAC,89.5,103.3,43.8,50.6,25,21.1,32.7,32.5,34.7,33.1,60.7,67.4,43.3,48.9,29.9,36.3
,,,329,196,326,242,329,142,167,162,209,94,340,87,312,212,316,281
327,Kennesaw St.,ASun,88.1,111.3,43.8,52.8,22.1,23.3,33.4,39.9,23,41.7,65,67.9,41.8,52.2,31.4,36.2
,,,334,317,327,314,249,42,146,339,343,280,289,110,332,319,285,275
328,Arkansas Pine Bluff,SWAC,88,101.7,43.6,48,27.1,23.5,37,34.6,36.7,52.3,61.8,66.7,43.8,47.1,28.8,33.4
,,,335,161,328,120,343,36,45,246,166,342,328,55,302,125,331,121
329,Mississippi Valley St.,SWAC,92.5,112,43.6,54.7,22.5,22.9,33,33.8,32.2,52.2,67.7,67.3,41.1,55.7,32.4,35.2
,,,305,324,329,335,267,53,161,225,282,341,213,79,338,341,244,236
330,Savannah St.,ind,86,100.3,43.5,49.6,26.2,25.6,31.5,32.2,34.3,44.8,69,71.4,42,49.8,31.9,32.7
,,,340,137,330,194,339,9,218,149,221,313,172,294,331,244,265,83
331,Lehigh,Pat,92.4,101,43.4,44.8,19.8,19.6,31.7,27.6,38.9,34.4,68.8,67,41.4,42.6,32,32.4
,,,308,150,331,24,114,227,203,15,99,130,177,70,335,20,262,65
332,Northwestern St.,Slnd,91.1,108.3,43.3,52.5,24.9,21.8,37.4,35,37.8,46.4,65.8,67.4,43.8,50.7,28,37.5
,,,318,289,332,304,327,105,35,263,139,324,270,86,305,274,340,323
333,Bethune Cookman,MEAC,87.7,100,43.2,47.8,22.6,23.9,35.4,29,38.4,47.9,62.4,62.8,43.7,47.7,28,32
,,,336,132,333,109,271,23,82,35,119,330,323,2,307,145,339,50
334,Fordham,A10,92.8,110.2,43.1,55.2,18.3,21.4,27.3,38.8,30.9,41.2,62.6,68.2,42.4,52.9,29.7,39.8
,,,303,309,334,338,48,121,317,333,303,271,321,129,328,328,322,342
335,Central Arkansas,Slnd,93.7,111.3,42.9,51.2,21.1,18.2,30.2,35.7,43.8,38.3,66.5,67.3,41.1,51,31.3,34.5
,,,292,318,335,268,209,306,256,282,23,218,250,80,337,287,292,185
336,Alabama A&M,SWAC,86.5,107.6,42.8,49.6,22.4,25.3,31.2,38.4,39.5,42,65.8,65,43.9,49.5,26.8,33.2
,,,339,276,336,195,265,10,232,330,87,284,269,17,299,235,341,110
337,Pepperdine,WCC,91.8,103.8,42.7,51.9,23.2,19.7,33,33.5,27.5,37.2,69.5,67.6,41.3,51.6,30.7,35
,,,311,212,337,291,296,224,158,214,335,195,152,95,336,304,309,224
338,Winston Salem St.,ind,83.9,107.3,42.4,51.2,25.3,24.4,31.3,35.3,34.3,43.4,56.4,62.8,42.5,51.3,28.2,33.9
,,,343,268,338,269,333,16,227,272,222,300,344,3,325,296,335,157
339,Maryland Eastern Shore,MEAC,88.9,117.9,42.1,50.6,25.2,20.5,39.1,37.3,44,39.9,61.8,69.5,40,49.6,31,35.1
,,,332,344,339,243,331,175,21,319,21,252,330,210,342,238,303,232
340,North Carolina Central,ind,85.2,113.4,42,55.8,24.2,23.1,27.8,40.6,30.8,41.2,67.6,67.7,40.5,57.8,30.2,34.2
,,,341,337,340,343,317,51,309,343,306,272,218,98,341,343,314,169
341,Drexel,CAA,97.8,96.3,41.9,43.6,19.8,18.1,39.5,32,38.8,38.3,67.9,67.5,40.7,41.5,29.8,33.3
,,,239,64,341,6,117,313,13,135,104,219,197,90,339,7,321,115
342,Hampton,MEAC,85.1,94.6,41.9,44.7,25.4,26.3,36.1,36.2,37.6,35.4,66,65.8,43.2,43.8,26.4,30.9
,,,342,41,342,22,335,5,61,295,141,151,259,28,313,32,343,27
343,Loyola Marymount,WCC,89.7,106,39.9,54.3,22.2,21.6,31.3,37.6,34.2,34.2,68.5,68.6,38.6,51.1,28.4,39.5
,,,327,253,343,331,256,116,223,325,226,124,185,148,344,288,334,341
344,NJIT,ind,73.2,106.1,38.5,49.1,27.4,21.6,29.3,33,30.6,45,63.1,67.9,39.3,45.2,24.8,37.7
,,,344,254,344,165,344,118,274,189,307,317,314,111,343,68,344,327
