RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
82.0,Connecticut,BE,116.3,87.1,51.3,42.4,18.1,16.8,39.8,30.6,46.4,19.5,67.8,69.9,51.4,40.9,34.1,30.4
84.0,Marquette,BE,117.3,95.9,51.2,50.9,16.7,21.5,35.0,30.6,45.4,30.1,72.8,67.3,50.7,50.3,34.7,34.7
86.0,Illinois,B10,106.2,88.4,51.1,44.2,19.4,21.6,30.2,32.7,22.5,26.7,71.1,63.1,50.5,44.1,35.0,29.6
88.0,Temple,A10,108.2,94.8,51.1,46.3,19.2,18.1,32.5,29.5,28.7,30.4,70.0,67.3,48.8,43.4,36.7,34.8
91.0,Siena,MAAC,110.3,98.2,51.0,49.2,18.2,23.3,34.3,34.9,35.7,24.4,66.4,68.2,51.5,48.4,33.0,33.9
95.0,Tennessee,SEC,115.3,97.5,50.9,50.6,18.6,21.1,37.9,31.0,36.7,36.8,67.6,68.5,52.9,50.7,31.5,33.7
97.0,Villanova,BE,114.6,91.2,50.8,47.3,19.0,21.7,36.1,29.9,41.9,38.7,75.3,67.8,49.8,45.0,35.2,33.7
100.0,USC,P10,110.0,91.5,50.8,46.3,21.2,19.9,37.3,31.1,42.2,32.7,67.4,70.7,51.3,44.1,32.6,33.6
102.0,East Tennessee St.,ASun,104.9,100.3,50.7,48.0,18.9,22.7,32.1,31.6,39.5,32.4,70.6,69.2,50.8,46.9,33.6,33.0
104.0,Duke,ACC,117.6,93.3,50.5,47.8,17.6,23.5,37.4,33.2,41.4,31.0,72.8,68.9,49.6,46.7,34.9,33.8
107.0,Texas A&M,B12,113.5,97.9,50.4,48.8,19.2,18.3,36.2,29.7,46.5,30.1,69.0,69.0,48.7,46.3,36.2,36.4
108.0,Chattanooga,SC,103.0,107.9,50.4,52.7,21.5,19.3,33.0,31.8,46.3,31.0,65.3,65.0,49.5,51.3,34.5,36.3
120.0,Michigan,B10,111.4,96.1,50.2,49.0,18.0,21.3,28.7,33.2,28.4,29.8,75.7,72.5,50.3,50.0,33.4,31.4
122.0,Memphis,CUSA,112.6,84.2,50.1,41.4,18.3,22.4,38.0,30.4,39.9,35.5,69.0,68.6,50.6,40.0,32.6,30.0
129.0,Purdue,B10,110.1,88.8,50.0,44.1,17.3,22.4,29.4,31.8,33.2,31.3,70.3,67.0,49.0,41.8,34.7,32.8
130.0,Mississippi St.,SEC,108.2,96.0,50.0,44.7,19.9,19.0,31.2,35.8,41.1,29.5,70.4,65.4,47.4,42.1,35.9,33.7
131.0,LSU,SEC,112.0,96.7,49.9,45.6,17.7,19.2,37.6,30.8,35.4,35.2,71.6,69.2,47.6,44.9,37.2,31.5
133.0,Wisconsin,B10,112.2,94.8,49.9,48.9,16.6,19.4,31.3,25.8,34.6,34.1,72.6,71.8,47.7,49.0,36.0,32.6
137.0,Radford,BSth,100.1,101.9,49.8,46.9,22.6,16.8,35.3,29.1,42.8,30.1,67.7,70.5,49.1,44.9,34.5,33.5
138.0,Michigan St.,B10,114.0,90.2,49.8,47.2,20.9,20.3,40.7,27.1,41.1,36.5,69.8,69.6,48.5,47.0,35.4,31.8
142.0,Boston College,ACC,113.4,100.7,49.7,47.4,19.7,18.4,40.6,37.1,36.6,34.8,73.8,69.4,49.4,46.7,33.4,32.8
148.0,Minnesota,B10,106.5,92.0,49.6,47.0,22.4,23.3,35.8,33.9,34.5,36.1,71.8,72.6,49.6,43.3,33.0,35.5
155.0,Binghamton,AE,101.6,102.3,49.4,46.6,19.7,21.6,31.7,35.5,40.8,41.6,68.2,70.3,49.0,45.4,33.5,32.9
162.0,Florida St.,ACC,105.8,90.7,49.2,44.7,22.9,22.3,34.6,35.4,39.2,35.7,72.5,68.8,48.1,42.1,34.2,32.7
179.0,Washington,P10,112.4,90.8,48.8,46.8,20.1,20.2,41.9,31.0,44.3,33.3,69.9,68.2,48.4,45.4,33.8,33.4
190.0,Texas,B12,112.3,93.0,48.5,46.0,18.6,20.0,39.2,32.7,38.6,36.6,66.8,67.5,48.2,43.5,32.8,34.3
191.0,West Virginia,BE,115.2,91.1,48.5,46.6,18.2,23.4,41.0,31.5,35.9,38.4,69.8,68.2,48.0,47.1,32.9,30.2
206.0,Akron,MAC,102.9,95.6,48.1,45.5,20.7,26.4,34.3,36.2,36.2,45.7,71.4,69.7,46.9,46.2,33.2,29.4
215.0,Morehead St.,OVC,101.0,101.6,47.8,48.4,23.2,18.6,39.5,29.5,42.7,38.9,72.5,67.9,47.4,45.8,32.6,35.4
229.0,North Carolina,MEAC,90.9,104.4,47.5,48.1,25.7,23.7,34.2,36.6,31.0,33.8,62.6,64.3,45.7,50.1,33.9,29.9
