RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
914,Jr,Jaden Akins,Michigan St.,B10,71.0,1.9,4.1,104.8,18.8,50.1,51.0,4.6,11.2,7.9,10.9,1.7,2.4,6.7,0.458,0.362
918,So,Trey Kaufman-Renn,Purdue,B10,42.3,1.9,4.1,115.6,19.6,53.5,54.4,12.0,16.2,10.4,12.4,2.2,1.0,48.3,0.537,0.348
920,Jr,Bez Mbeng,Yale,Ivy,82.1,1.9,3.2,104.2,20.9,47.6,51.0,2.0,13.0,21.9,15.7,1.3,3.6,34.0,0.541,0.258
933,Jr,Mohamed Diarra,North Carolina St.,ACC,51.8,1.9,5.2,116.6,15.6,54.2,56.5,9.9,30.9,4.8,12.2,5.3,1.9,37.6,0.556,0.344
945,Sr,Michael Christmas,Longwood,BSth,69.2,1.9,0.4,110.1,20.2,50.2,54.5,7.2,18.8,6.3,15.3,0.7,1.1,33.7,0.449,0.411
956,Jr,TJ Long,Vermont,AE,72.5,1.9,2.7,107.2,20.7,52.7,55.6,1.4,15.1,9.7,10.4,1.4,2.1,20.9,0.525,0.351
969,Sr,Shakeel Moore,Mississippi St.,SEC,55.2,1.9,2.9,111.8,16.5,53.9,56.2,1.6,9.2,14.4,16.3,0.8,2.1,27.8,0.536,0.362
970,Sr,Kario Oquendo,Oregon,P12,43.6,1.9,1.9,113.1,20.4,52.4,55.9,4.8,11.4,10.8,10.9,1.9,1.1,54.1,0.54,0.333
973,Sr,Luke O'Brien,Colorado,P12,55.7,1.8,3.4,116.1,14.0,53.9,55.2,5.8,13.0,8.9,12.0,1.7,1.7,19.7,0.519,0.376
983,Sr,Lamont Butler,San Diego St.,MWC,68.6,1.8,3.3,103.7,20.1,47.7,49.6,2.3,8.4,20.8,15.4,0.9,3.3,31.6,0.478,0.316
985,Sr,Greg Tribble,Akron,MAC,71.6,1.8,-0.3,109.4,18.8,53.0,56.7,2.3,7.5,12.8,15.8,1.1,1.1,38.3,0.508,0.389
987,Jr,Reese Waters,San Diego St.,MWC,64.3,1.8,2.2,107.3,18.5,46.8,51.8,2.4,14.1,8.6,12.3,1.1,1.2,24.6,0.449,0.328
991,So,Tre Donaldson,Auburn,SEC,48.0,1.8,5.0,113.4,19.1,54.5,56.9,2.1,11.2,28.3,20.2,0.0,2.4,19.6,0.504,0.412
993,Jr,Babacar Faye,Western Kentucky,CUSA,47.4,1.8,2.1,120.2,17.7,58.8,62.5,11.7,18.5,7.5,15.8,2.9,1.4,65.4,0.602,0.0
997,So,AJ George,Long Beach St.,BW,70.6,1.8,0.1,110.9,17.5,54.6,58.0,4.5,11.3,9.7,16.1,2.2,1.4,41.8,0.552,0.333
1002,Fr,D.J. Wagner,Kentucky,SEC,56.1,1.8,-1.2,104.0,21.0,45.9,49.6,0.8,6.7,19.7,14.8,0.7,1.7,24.7,0.472,0.292
1008,So,Tre Holloman,Michigan St.,B10,49.0,1.8,4.7,117.5,15.3,58.1,59.9,1.2,8.3,21.4,17.1,1.6,1.8,16.1,0.52,0.425
1009,Sr,Alec Oglesby,Stetson,ASun,86.5,1.8,-1.2,114.6,14.6,55.1,58.0,2.7,12.0,6.0,12.2,0.8,1.1,20.8,0.451,0.402
1010,Sr,Szymon Zapala,Longwood,BSth,41.7,1.8,2.4,113.3,26.4,62.4,64.0,14.7,23.6,4.4,20.2,5.9,0.7,54.0,0.618,0.667
1011,Sr,Michael O'Connell,North Carolina St.,ACC,61.2,1.8,2.2,115.2,13.9,53.9,57.7,2.9,12.4,21.1,20.1,0.5,2.0,26.3,0.531,0.366
1024,Sr,Darrion Trammell,San Diego St.,MWC,65.2,1.8,3.3,107.6,17.1,46.3,51.0,2.2,8.3,22.0,17.8,0.5,2.6,28.0,0.439,0.324
1025,Fr,Caleb Foster,Duke,ACC,50.5,1.8,1.8,111.0,16.1,52.1,54.5,2.1,9.0,13.8,15.5,0.3,1.3,28.7,0.459,0.406
1030,Jr,Oscar Cluff,Washington St.,P12,50.3,1.8,3.0,109.7,20.0,54.1,55.6,11.5,13.5,11.1,18.6,4.5,1.4,23.9,0.536,1.0
1039,Jr,A.J. Staton-McCray,Samford,SC,48.0,1.8,2.1,105.6,25.2,50.2,55.0,5.0,18.8,11.1,16.6,2.7,3.9,31.1,0.444,0.414
1042,Sr,Nelly Junior Joseph,New Mexico,MWC,65.9,1.8,3.3,107.8,18.0,54.2,54.8,11.3,21.2,6.3,17.3,5.3,2.0,52.4,0.542,0.0
1050,Sr,Rodney Howard,Western Kentucky,CUSA,49.1,1.7,0.7,108.5,23.5,55.6,57.5,10.7,14.7,7.6,16.7,2.7,1.0,34.2,0.556,0.0
