RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
287,Jr,Jerome Dyson,Connecticut,BE,47.7,3.1,6.7,106.8,24.2,45.5,51,4.9,9.5,20.5,16.7,1,3.7,45.5,0.43,0.348
288,Sr,Bryan Mullins,Southern Illinois,MVC,59.2,3.1,5.9,114.5,17.1,52.8,54.8,2,6,37.2,17.6,0,3.6,24.1,0.402,0.438
289,Sr,Brandon Brooks,Alabama St.,SWAC,89.7,3.1,2.1,110.8,23.2,53.9,59.5,2.7,10.1,35.6,24.3,0.8,2.3,57.6,0.541,0.355
290,Jr,Artsiom Parakhouski,Radford,BSth,78.4,3.1,4,110.3,24.5,53.5,56.6,14.7,23,7.5,15.9,5,1.3,54.7,0.54,0
291,Jr,Corey Allmond,Sam Houston St.,Slnd,77.4,3.1,3.5,113.8,21.2,55.9,58.4,1.9,7.3,17.9,15.5,0,2.3,19.4,0.431,0.427
292,So,Jamal Barney,Loyola MD,MAAC,69,3.1,3.3,98.9,33.9,44.5,49.4,6.6,15.2,13.8,15.6,1.6,2.9,29.7,0.451,0.282
293,Sr,Brian Gilmore,American,Pat,80.3,3.1,3,112.3,21,61.6,63,6.7,14.1,14,21.4,0.3,1.5,32,0.619,0.408
294,Fr,Devin Ebanks,West Virginia,BE,75.2,3.1,7.4,109.3,20.4,47.9,52.8,9.5,20.3,17.4,18.9,2.6,1.7,49.8,0.527,0.125
295,Fr,Isaiah Thomas,Washington,P12,70.1,3.1,4.5,102.9,27.7,45.9,50.8,2.8,9,18,18.6,0.2,1.9,48.5,0.469,0.29
296,So,Rihards Kuksiks,Arizona St.,P12,79.4,3.1,5.2,115,15.7,61.6,62.3,3.8,10.9,10.1,16.7,0.5,1,10.5,0.439,0.443
297,Sr,Tony Gaffney,Massachusetts,A10,83.8,3.1,9.2,113.5,17.5,55.6,57.5,10.2,23,10.1,15.4,10.8,3.5,40.4,0.563,0.344
298,Sr,Ade Dagunduro,Nebraska,B12,65.1,3.1,6.4,106.3,27.6,54,57.9,8.9,12.6,14.5,16.2,2.3,3,52.7,0.543,0.344
299,Jr,Roeland Schaftenaar,Oregon St.,P12,77,3.1,4.8,105.4,23.4,52.3,55.9,3.3,14.2,26.4,20.4,3.7,1.7,35,0.523,0.347
300,Sr,Robert Vaden,UAB,CUSA,90.2,3.1,5,101,25.7,50.4,52.7,2.3,13.5,11.9,15.6,1.8,1.7,19.2,0.48,0.346
301,Jr,Robert Glenn,IUPUI,Sum,62.6,3.1,4.7,109.2,30.5,60.3,63.5,11.6,16,11.7,21.5,8.3,2.7,59.4,0.624,0
302,Jr,Shawn Taggart,Memphis,CUSA,62.3,3.1,5.9,117.5,19.9,51.6,56.9,13.6,19.9,2.8,12.9,5.6,1.5,50.9,0.54,0.174
303,Jr,Nikola Dragovic,UCLA,P12,58.4,3.1,7.8,120.1,18,56.9,59.2,4.9,18,10.2,14.8,2.6,1.9,14.2,0.563,0.382
304,Fr,Eric Wise,UC Irvine,BW,74.2,3.1,0.8,106.6,27.4,45.1,53.1,8.6,16.3,14.1,13.5,1.4,1.5,60.3,0.447,0.357
305,So,Randy Culpepper,UTEP,CUSA,74.8,3.1,5.7,104.1,27.1,49.6,53.8,2.8,8,13.8,15.3,1.1,3.4,35.7,0.473,0.346
306,Sr,Lawrence Kinnard,UAB,CUSA,83.6,3.1,4.6,106.6,22.4,50.1,51.5,8.8,23,7.6,10.8,1.9,1.9,24.9,0.524,0.306
307,Sr,Sean Ogirri,Wyoming,MWC,90.1,3.1,2.2,111.6,17.7,58.8,61.6,1.3,5.6,13.2,17.7,0.3,1.4,21.1,0.494,0.414
