RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
561,Fr,Zac Seljaas,BYU,WCC,48.0,2.4,6.2,131.9,13.4,67.6,68.1,2.9,12.1,9.8,12.1,2.4,1.6,18.8,0.476,0.493
562,So,Jae'Sean Tate,Ohio St.,B10,57.3,2.4,4.3,106.6,21.4,54.8,54.8,7.7,16.1,11.5,15.1,1.2,2.5,32.8,0.553,0.35
564,Jr,Vitto Brown,Wisconsin,B10,63.0,2.4,4.0,109.3,20.5,51.2,53.6,7.9,15.8,7.6,13.7,2.3,1.3,18.9,0.469,0.4
570,So,Noah Robotham,Akron,MAC,67.5,2.3,1.9,116.7,16.1,54.3,57.0,1.5,7.8,21.5,16.0,0.3,2.1,25.6,0.443,0.4
572,Jr,Avry Holmes,Clemson,ACC,76.7,2.3,2.4,108.1,18.8,47.7,52.8,2.1,8.3,16.4,14.3,0.0,2.3,44.9,0.441,0.333
577,Jr,Corban Collins,Morehead St.,OVC,59.8,2.3,3.3,114.5,18.6,49.8,53.0,1.4,8.5,19.2,13.1,0.3,2.5,29.3,0.351,0.432
578,Jr,Sheldon Jeter,Pittsburgh,ACC,44.4,2.3,5.6,120.2,19.8,54.5,58.3,10.4,18.7,7.6,11.7,4.4,2.0,27.7,0.572,0.227
581,Jr,Eron Harris,Michigan St.,B10,51.9,2.3,2.7,110.9,22.8,52.0,56.4,4.3,9.4,17.3,18.9,0.4,0.7,33.7,0.43,0.439
585,Fr,Malachi Richardson,Syracuse,ACC,85.1,2.3,2.3,100.2,22.0,46.5,51.0,1.7,12.1,12.8,17.3,0.9,2.1,38.1,0.388,0.353
589,Sr,Willie Atwood,Arizona St.,P12,67.1,2.3,2.2,114.7,15.6,48.0,54.8,6.0,12.2,9.6,12.7,1.1,1.0,52.0,0.489,0.314
593,Fr,Dedric Lawson,Memphis,Amer,77.5,2.3,3.7,96.4,27.8,44.0,49.0,10.0,19.6,16.9,19.1,5.1,2.0,40.9,0.422,0.35
597,Sr,Rodney Pryor,Robert Morris,NEC,72.5,2.3,2.7,100.9,29.2,49.4,55.0,6.2,21.9,13.4,17.5,2.9,2.6,33.2,0.535,0.29
599,Sr,Paul Jesperson,Northern Iowa,MVC,75.1,2.3,2.3,108.0,18.5,56.5,59.2,2.3,13.7,6.0,12.4,1.0,0.8,16.8,0.5,0.397
601,Jr,Avery Woodson,Memphis,Amer,61.0,2.3,3.9,120.1,14.0,58.6,59.7,1.2,8.8,10.6,10.2,1.1,1.7,16.8,0.407,0.43
603,Sr,Kyle Dranginis,Gonzaga,WCC,78.4,2.3,5.2,119.7,12.3,53.1,53.8,5.4,10.1,15.8,15.1,1.1,1.9,19.8,0.532,0.354
613,Sr,Jeff Newberry,Oklahoma St.,B12,74.7,2.3,5.0,104.0,20.4,43.9,50.3,4.5,13.0,11.2,11.8,1.9,3.1,36.7,0.424,0.311
615,Jr,Tre' McLean,Chattanooga,SC,77.7,2.3,3.6,110.4,20.8,54.1,58.3,6.6,17.6,15.2,19.7,2.7,3.0,36.5,0.533,0.372
622,So,Jevon Carter,West Virginia,B12,68.8,2.2,6.3,108.6,18.1,45.9,50.0,2.7,9.7,21.2,18.3,1.3,3.4,31.0,0.459,0.306
628,Sr,Connor Lammert,Texas,B12,70.6,2.2,4.4,116.0,12.8,52.3,55.0,5.8,15.7,6.2,11.9,1.6,1.3,19.0,0.577,0.336
638,Fr,Jaylen Brown,California,P12,68.3,2.2,2.6,95.4,30.9,47.1,51.8,4.5,16.5,15.1,21.0,2.2,1.7,57.4,0.482,0.294
