ï»¿RK,YEAR,NAME ,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
388,Sr,Chris Boucher,Oregon,P12,46.5,2.8,6.9,115.5,21.8,58.9,59.0,9.3,19.6,3.1,11.3,11.7,1.0,32.0,0.633,0.347
402,Sr,Kyle Davis,Dayton,A10,64.7,2.8,6.1,124.7,13.3,62.2,63.8,2.2,13.7,17.7,13.4,1.3,3.2,55.4,0.642,0.397
407,Jr,Jeff Roberson,Vanderbilt,SEC,78.9,2.8,4.0,105.8,20.3,48.3,54.1,7.7,17.7,11.7,17.0,1.3,1.6,41.3,0.466,0.339
408,Jr,E.C. Matthews,Rhode Island,A10,72.9,2.8,3.7,105.7,25.0,50.6,54.6,2.5,13.9,10.1,15.1,1.3,1.0,38.2,0.507,0.337
410,Sr,Przemek Karnowski,Gonzaga,WCC,57.8,2.8,7.9,111.4,25.8,58.6,59.2,7.7,18.2,16.1,16.9,3.9,1.1,39.3,0.588,0.0
420,Sr,Isaac Hamilton,UCLA,P12,75.1,2.7,1.2,108.5,22.0,54.0,56.0,3.4,8.9,13.8,16.1,0.5,1.2,13.4,0.531,0.366
422,Jr,Paul Miller,North Dakota St.,Sum,84.1,2.7,2.2,108.5,24.3,54.8,58.4,2.0,15.9,11.5,15.0,1.4,1.7,39.0,0.529,0.376
425,Jr,Elijah Stewart,USC,P12,74.3,2.7,3.7,114.0,18.6,54.1,56.0,4.9,9.9,7.5,10.6,4.0,1.5,22.7,0.49,0.386
428,Jr,Xavier Rathan-Mayes,Florida St.,ACC,69.2,2.7,4.3,109.9,21.5,52.0,52.6,2.6,10.0,28.8,17.2,0.4,1.9,39.5,0.547,0.323
431,Sr,Katin Reinhardt,Marquette,BE,58.3,2.7,2.5,110.6,20.8,51.4,55.2,3.5,9.0,14.1,14.1,0.4,1.4,20.9,0.443,0.375
434,Jr,Jared Terrell,Rhode Island,A10,76.4,2.7,3.1,109.0,21.0,48.7,53.9,3.6,6.8,12.5,14.0,0.6,2.0,43.7,0.466,0.346
436,Fr,Anthony Cowan,Maryland,B10,73.0,2.7,3.9,107.6,21.1,48.6,56.6,3.5,11.2,23.7,21.9,0.5,2.3,70.0,0.469,0.347
437,Jr,Trae Bell-Haynes,Vermont,AE,69.4,2.7,2.9,112.1,24.2,51.6,56.1,3.3,8.5,26.7,17.1,0.4,2.4,46.8,0.522,0.327
438,So,Justin Robinson,Virginia Tech,ACC,78.1,2.7,1.9,107.5,20.8,49.4,56.0,2.0,9.1,27.0,21.4,0.6,1.3,55.4,0.459,0.358
442,Sr,Kendall Pollard,Dayton,A10,52.8,2.7,4.6,104.9,26.8,52.8,56.7,4.7,17.5,12.1,14.7,2.9,3.2,72.6,0.548,0.227
445,Jr,Xavier Cooks,Winthrop,BSth,71.3,2.7,5.9,105.3,30.0,53.1,56.1,6.4,27.8,22.4,18.5,6.0,1.6,39.5,0.534,0.35
447,Fr,Amir Coffey,Minnesota,B10,78.9,2.7,3.8,107.3,19.2,50.3,55.9,2.3,9.6,17.9,17.3,0.4,1.8,50.0,0.503,0.337
448,Sr,Avery Woodson,Butler,BE,55.7,2.7,5.6,123.0,16.1,59.0,60.1,1.4,12.9,5.7,5.3,1.4,0.8,10.9,0.467,0.421
449,So,Kimbal Mackenzie,Bucknell,Pat,75.1,2.7,2.6,115.6,18.3,57.3,61.4,1.5,6.9,14.5,16.1,0.2,2.2,32.4,0.526,0.41
450,Sr,Moses Kingsley,Arkansas,SEC,69.3,2.7,4.1,106.3,22.8,47.8,54.2,9.1,21.0,8.9,17.1,9.8,1.3,53.0,0.469,0.438
467,So,Rickey McGill,Iona,MAAC,79.4,2.6,2.6,114.8,18.7,52.3,56.8,2.8,9.9,27.9,18.5,1.3,3.1,35.6,0.53,0.338
469,Sr,Dylan Ennis,Oregon,P12,79.9,2.6,4.8,109.0,18.8,50.8,54.4,2.8,12.8,16.6,17.8,1.5,2.1,33.1,0.481,0.361
474,Sr,Deonte Burton,Iowa St.,B12,72.6,2.6,5.1,99.2,27.2,50.3,52.6,4.4,18.6,11.4,16.1,4.8,3.3,26.3,0.483,0.375
